population,language,language_family,morphological_type,word_order,tone,phoneme_count,latitude,longitude,notes
Adygei,Adyghe,Northwest Caucasian,agglutinative,SOV,no,56,44.0,40.0,Circassian
BEB,Bengali,Indo-European,fusional,SOV,no,49,23.7,90.4,Bangladesh
Balochi,Balochi,Indo-European,fusional,SOV,no,32,28.0,66.0,Pakistan
Basque,Basque,Isolate,agglutinative,SOV,no,24,43.0,-2.0,Language isolate
Bedouin,Arabic,Afro-Asiatic,fusional,VSO,no,28,31.0,35.0,Levant
BergamoItalian,Italian,Indo-European,fusional,SVO,no,30,45.7,9.7,Northern Italy
Bougainville,Rotokas,East Papuan,isolating,SOV,no,11,-6.2,155.2,Papuan; minimal phonemes
Brahui,Brahui,Dravidian,agglutinative,SOV,no,36,28.5,66.5,Pakistan Dravidian isolate
Burusho,Burushaski,Isolate,agglutinative,SOV,no,38,36.5,74.5,Pakistan language isolate
CDX,Zhuang,Tai-Kadai,isolating,SVO,yes,54,23.0,108.0,China Dai minority
CEU,English,Indo-European,fusional,SVO,no,44,52.0,-1.0,Utah European ancestry
CHB,Mandarin,Sino-Tibetan,isolating,SVO,yes,35,39.9,116.4,Beijing Han
CHS,Mandarin,Sino-Tibetan,isolating,SVO,yes,35,23.1,113.3,Southern Han
CLM,Spanish,Indo-European,fusional,SVO,no,24,4.6,-74.1,Colombia admixed
Cambodian,Khmer,Austroasiatic,isolating,SVO,no,33,11.5,104.9,Cambodia
Colombian,Spanish,Indo-European,fusional,SVO,no,24,4.6,-74.1,Colombia
Dai,Tai,Tai-Kadai,isolating,SVO,yes,56,21.0,100.0,Yunnan China
Daur,Daur,Mongolic,agglutinative,SOV,no,29,48.5,124.0,Inner Mongolia
Druze,Arabic,Afro-Asiatic,fusional,VSO,no,28,32.8,35.4,Israel/Lebanon
FIN,Finnish,Uralic,agglutinative,SVO,no,25,61.0,25.0,Finland
French,French,Indo-European,fusional,SVO,no,36,46.0,2.0,France
GBR,English,Indo-European,fusional,SVO,no,44,53.0,-1.0,Great Britain
GIH,Gujarati,Indo-European,fusional,SOV,no,44,23.0,72.6,Gujarat India (admixed flag)
Han,Mandarin,Sino-Tibetan,isolating,SVO,yes,35,35.0,110.0,Generic Han
Hazara,Hazaragi,Indo-European,fusional,SOV,no,33,34.8,67.0,Afghanistan (Mongol descent)
Hezhen,Nanai,Tungusic,agglutinative,SOV,no,29,47.7,133.5,Northeast China
IBS,Spanish,Indo-European,fusional,SVO,no,24,40.0,-3.5,Iberian Spain
ITU,Telugu,Dravidian,agglutinative,SOV,no,41,17.4,78.5,India Telugu
JPT,Japanese,Japonic,agglutinative,SOV,yes,22,35.7,139.7,Tokyo Japan (pitch accent)
KHV,Vietnamese,Austroasiatic,isolating,SVO,yes,37,21.0,105.8,Vietnam
Kalash,Kalasha,Indo-European,fusional,SOV,no,45,35.7,71.5,Pakistan Hindu-Kush
Karitiana,Karitiana,Tupi,agglutinative,SOV,no,17,-10.0,-63.0,Brazil Amazonian
Lahu,Lahu,Sino-Tibetan,isolating,SOV,yes,37,21.0,100.5,Yunnan China Tibeto-Burman
MXL,Spanish,Indo-European,fusional,SVO,no,24,23.6,-102.5,Mexico admixed
Makrani,Balochi,Indo-European,fusional,SOV,no,32,25.5,63.0,Pakistan coast
Maya,Yucatec,Mayan,agglutinative,VOS,yes,27,20.0,-89.0,Mexico Maya
Miao,Hmong,Hmong-Mien,isolating,SVO,yes,60,26.5,109.0,China Hmong-Mien
Mongolian,Mongolian,Mongolic,agglutinative,SOV,no,29,47.9,106.9,Mongolia
Mozabite,Tamazight,Afro-Asiatic,fusional,VSO,no,33,32.5,3.5,Algeria Berber
Naxi,Naxi,Sino-Tibetan,isolating,SOV,yes,42,27.0,100.2,Yunnan China
NorthernHan,Mandarin,Sino-Tibetan,isolating,SVO,yes,35,40.0,116.0,North China
Orcadian,English,Indo-European,fusional,SVO,no,44,59.0,-3.0,Orkney Islands
Oroqen,Evenki,Tungusic,agglutinative,SOV,no,25,50.5,126.0,Northeast China
