country,iso3,year,gdp_pc_ppp,food_share
Angola,AGO,2023,8597.53878787554,50.01461
United Arab Emirates,ARE,2023,70239.8328337228,12.225459
Argentina,ARG,2023,27230.3968496682,23.050257
Australia,AUS,2023,60684.9596204883,9.905157
Austria,AUT,2023,64536.2076307547,10.055154
Azerbaijan,AZE,2023,21310.7386915022,42.70742
Belgium,BEL,2023,63042.0099876309,12.174075
Bangladesh,BGD,2023,8242.39798977242,52.775024
Bulgaria,BGR,2023,33073.6803093453,20.728756
Bahrain,BHR,2023,57819.9051831242,13.583627
Bosnia and Herzegovina,BIH,2023,19804.9181465635,32.1488
Belarus,BLR,2023,27782.4380139967,29.479084
Bolivia,BOL,2023,11616.1575595159,29.263062
Brazil,BRA,2023,19079.8122134028,16.220968
Canada,CAN,2023,58088.3778077995,9.656434
Switzerland,CHE,2023,85383.3564504008,9.001141
Chile,CHL,2023,29600.4188613168,19.436594
China,CHN,2023,22687.2519534328,21.226562
Cote d'Ivoire,CIV,2023,6520.89886459765,37.74478
Cameroon,CMR,2023,4875.25120768005,45.825108
Colombia,COL,2023,18406.6242338491,20.622913
Costa Rica,CRI,2023,26378.5409941926,21.311459
Czechia,CZE,2023,47558.4106763314,15.65828
Germany,DEU,2023,63140.1949099669,11.5981
Denmark,DNK,2023,68993.9031100362,11.850251
Dominican Republic,DOM,2023,23282.4895071054,28.072994
Algeria,DZA,2023,15159.3242373415,37.160736
Ecuador,ECU,2023,14321.1648295611,25.85449
Egypt,EGY,2023,16691.3873991962,36.850838
Spain,ESP,2023,47322.5937004504,12.904854
Estonia,EST,2023,41284.7746875532,19.937675
Ethiopia,ETH,2023,2757.95923626099,37.86606
Finland,FIN,2023,56051.7701129501,12.264951
France,FRA,2023,54296.7230897731,12.579948
United Kingdom,GBR,2023,53423.4226338292,8.654823
Georgia,GEO,2023,22590.5293649146,38.96251
Ghana,GHA,2023,6808.53775003964,39.102108
Greece,GRC,2023,36700.5134631055,16.439177
Guatemala,GTM,2023,12380.3715121996,35.0941
Hong Kong,HKG,2023,64387.6654066058,11.487468
Honduras,HND,2023,6467.8800352783,31.49428
Croatia,HRV,2023,41320.257995772,18.542738
Hungary,HUN,2023,40333.2546888118,16.811634
Indonesia,IDN,2023,13889.9495012858,33.536575
India,IND,2023,8870.55027609345,29.86331
Ireland,IRL,2023,117659.728593716,8.577674
Iran,IRN,2023,17044.8173442641,27.903685
Iraq,IRQ,2023,13202.3228073856,28.707914
Israel,ISR,2023,47671.2476926086,15.759338
Italy,ITA,2023,52842.6288831758,14.704657
Jordan,JOR,2023,10308.7821986337,24.975618
Japan,JPN,2023,47387.2172542523,15.753787
Kazakhstan,KAZ,2023,34703.2349286604,50.437447
Kenya,KEN,2023,5691.82513474417,42.140427
Cambodia,KHM,2023,6695.29194763723,40.74538
South Korea,KOR,2023,54029.3434990785,12.33084
Kuwait,KWT,2023,47790.1933239144,19.171309
Laos,LAO,2023,8372.15591874407,50.47494
Lebanon,LBN,2023,11330.2687387422,37.13138
Sri Lanka,LKA,2023,13065.0698305722,27.131388
Lithuania,LTU,2023,46333.9006965206,19.405567
Latvia,LVA,2023,37277.7217221317,19.578287
Morocco,MAR,2023,8915.3515625,34.52173
Mexico,MEX,2023,21864.9236104145,25.679565
North Macedonia,MKD,2023,23455.2221318176,30.620117
Myanmar,MMR,2023,5364.13797034429,53.93647
Montenegro,MNE,2022,25583.3155690619,24.785715
Malaysia,MYS,2023,32857.6676600774,26.41543
Nigeria,NGA,2023,7843.00399007675,59.346592
Netherlands,NLD,2023,70198.9546022361,11.678133
Norway,NOR,2023,94364.9641754336,11.702579
New Zealand,NZL,2023,49592.5875512098,12.778356
Oman,OMN,2023,37793.6163957515,18.676958
Pakistan,PAK,2023,5418.7693189297,37.787006
Panama,PAN,2023,35872.9719200069,15.438046
Peru,PER,2023,15342.2741359642,26.907866
Philippines,PHL,2023,9898.53294588106,37.32849
Poland,POL,2023,43672.7668014946,18.63268
Portugal,PRT,2023,41768.2583096874,17.342588
Paraguay,PRY,2023,15831.5849831308,29.29504
Qatar,QAT,2023,116159.142564088,14.566126
Romania,ROU,2023,40116.6891416904,25.136293
Russia,RUS,2023,39881.44921875,25.34453
Saudi Arabia,SAU,2023,64481.8441927288,20.544811
Singapore,SGP,2023,130296.843789261,6.9751425
El Salvador,SLV,2023,11404.3342262685,26.74805
Serbia,SRB,2023,25735.1334774195,24.088127
Slovakia,SVK,2023,39501.9474231962,19.370821
Slovenia,SVN,2023,47986.4195855821,13.93656
Sweden,SWE,2023,62122.5116950792,13.006173
Thailand,THA,2023,21245.2706771879,25.9059
Turkmenistan,TKM,2023,17685.8585929282,36.49421
Tunisia,TUN,2023,12650.9615158166,22.278597
Turkey,TUR,2023,35069.1701714685,22.825748
Tanzania,TZA,2023,3620.79345703125,26.168013
Uganda,UGA,2023,2791.05576885861,38.565464
Ukraine,UKR,2023,15916.9580078125,41.71225
Uruguay,URY,2023,31100.9696889882,18.697643
United States,USA,2023,74351.6718197429,6.794796
Uzbekistan,UZB,2023,10514.0955721447,46.33913
Vietnam,VNM,2023,13534.7997843016,34.85494
South Africa,ZAF,2023,13695.3755694076,16.08083
