year,total_energy_tbtu,gdp_real_usd,intensity_btu_per_usd
1960,43942.401,3431221354400.48,12806.635440072863
1961,44564.329,3510139445548.0,12695.885645375736
1962,46545.105,3724257952009.94,12497.81986096858
1963,48392.685,3888125302072.0,12446.27712337648
1964,50482.863,4113636569749.17,12272.076578480584
1965,52564.923,4376909310257.44,12009.59838871056
1966,55561.695,4661408415802.81,11919.508020717147
1967,57313.46,4777943625874.65,11995.42407524915
1968,60820.485,5007284920049.62,12146.399889582735
1969,63808.785,5162510752399.39,12360.029462474915
1970,66035.827,5173693086156.43,12763.769690300369
1971,67351.891,5344048439329.24,12603.158778338786
1972,70727.518,5624905010748.28,12573.993314527303
1973,73716.886,5942469134431.78,12405.09362898842
1974,71773.471,5910347106213.37,12143.698112848011
1975,69788.058,5898194298295.99,11832.105636154107
1976,73916.575,6215991006938.6,11891.35809840951
1977,76324.499,6503430023972.05,11736.037555361267
1978,77916.212,6863408304118.42,11352.408096316522
1979,78819.964,7080703002868.78,11131.657967869252
1980,76038.149,7062521475379.06,10766.430837071384
1981,74159.42,7241747172584.14,10240.542542102725
1982,70812.347,7111177473641.25,9957.893367515804
1983,70488.946,7437138984498.94,9477.965404024115
1984,74236.954,7975324064043.09,9308.330721593975
1985,74268.292,8307861210636.8,8939.520066237037
1986,74458.221,8595533785996.84,8662.431310700147
1987,77160.838,8892477645982.6,8677.091028152245
1988,81025.097,9263914871715.43,8746.312776187711
1989,82711.472,9604107859227.81,8612.093201403317
1990,82255.545,9785238027483.98,8406.085244831787
1991,82213.947,9774639354974.79,8410.944282886236
1992,83836.077,10118950749880.0,8285.056333631646
1993,85191.29,10397403618008.9,8193.515720832824
1994,87052.554,10816317372731.7,8048.261806690549
1995,88667.979,11106673921189.1,7983.306220131387
1996,91403.616,11525703481707.7,7930.415366408267
1997,91956.252,12038266260881.9,7638.662412610855
1998,92601.594,12577957790986.1,7362.21217615806
1999,94231.538,13180243872422.8,7149.453296320404
2000,96693.59,13717679619695.1,7048.829880905849
2001,94415.713,13848757307490.4,6817.630701704421
2002,95575.431,14084248131472.2,6785.980345406601
2003,95806.493,14477988212190.1,6617.3899022333335
2004,98033.168,15035068144287.0,6520.3008765377945
2005,98100.924,15558822251170.7,6305.1638752810195
2006,97234.944,15992063823764.9,6080.199846095203
2007,98965.112,16312522122670.3,6066.818561579966
2008,96646.728,16331051067547.5,5917.973533990904
2009,91626.429,15910281498142.2,5758.944554859006
2010,95141.871,16339094225608.8,5822.958707887308
2011,93966.595,16594704135237.8,5662.444731416928
2012,91677.514,16974575729644.7,5400.87219027765
2013,94253.453,17334068402849.7,5437.468620148335
2014,95332.298,17771549056393.4,5364.321236009742
2015,94478.128,18295019000000.0,5164.14484182826
2016,94084.33,18627887993795.5,5050.724485316705
2017,93888.75,19085691123385.5,4919.326703603575
2018,97400.226,19651869117636.5,4956.283059741555
2019,96600.277,20159639089819.0,4791.766190337454
2020,88876.736,19740041204593.2,4502.358180454039
2021,93374.592,20954452976799.5,4456.0739477849
2022,94964.143,21483388181185.0,4420.352236765378
2023,93746.24,22113788823329.1,4239.266312478381
2024,94582.337,22731468331925.1,4160.85470673992
2025,96256.37,23222782186839.4,4144.91120080132
