iso3,tv_hours,tv_year,trust_pct,trust_year
ITA,1.883,2010,28.75,2010
SVN,1.95,2000,15.29,1998
NLD,2.0,2010,54.12,2010
LUX,2.017,2010,31.44,2010
NOR,2.017,2010,73.28,2010
AUT,2.017,2010,34.97,2010
DEU,2.083,2010,35.58,2010
LVA,2.083,2000,23.92,1998
FRA,2.1,2010,23.68,2010
TUR,2.133,2010,8.84,2010
POL,2.15,2010,22.85,2010
FIN,2.233,2010,59.91,2010
EST,2.25,2010,31.74,2010
ROU,2.25,2010,17.84,2010
LTU,2.267,2000,21.31,1998
ESP,2.317,2010,27.65,2010
GBR,2.367,2010,35.34,2010
HUN,2.433,2010,24.0,2010
BGR,2.45,2000,23.69,1998
BEL,2.45,2010,35.67,2010
GRC,2.517,2010,20.66,2010
SRB,2.633,2010,12.64,2010
