island,Area,Species
Baltra,25.09,58.0
Bartolome,1.24,31.0
Caldwell,0.21,3.0
Champion,0.1,25.0
Coamano,0.05,2.0
Daphne.Major,0.34,18.0
Daphne.Minor,0.08,24.0
Darwin,2.33,10.0
Eden,0.03,8.0
Enderby,0.18,2.0
Espanola,58.27,97.0
Fernandina,634.49,93.0
Gardner1,0.57,58.0
Gardner2,0.78,5.0
Genovesa,17.35,40.0
Isabela,4669.32,347.0
Marchena,129.49,51.0
Onslow,0.01,2.0
Pinta,59.56,104.0
Pinzon,17.95,108.0
Las.Plazas,0.23,12.0
Rabida,4.89,70.0
SanCristobal,551.62,280.0
SanSalvador,572.33,237.0
SantaCruz,903.82,444.0
SantaFe,24.08,62.0
SantaMaria,170.92,285.0
Seymour,1.84,44.0
Tortuga,1.24,16.0
Wolf,2.85,21.0
