event_id,year,event_date_ordinal,event_location,pre_event_prey_level,event_prey_level,event_intensity,peak_pulse_fold,event_duration,n_surveys_pre,n_surveys_evt,n_surveys_post,data_source
spawn_2009,2009,205,"10 km2 foraging area, coastal Newfoundland (capelin spawning-site cluster)",0.229934966,0.081208549,0.3531805119191833,1.3601473224307141,,1,1,2,Dryad doi:10.5061/dryad.jq2bvq8k8 (hydroacoustic survey)
spawn_2010,2010,200,"10 km2 foraging area, coastal Newfoundland (capelin spawning-site cluster)",0.019005650333333336,0.1122939325,5.908449883614435,7.234896969499473,,3,2,3,Dryad doi:10.5061/dryad.jq2bvq8k8 (hydroacoustic survey)
spawn_2012,2012,196,"10 km2 foraging area, coastal Newfoundland (capelin spawning-site cluster)",0.004795336,0.066077899,13.779618153972944,26.138351514888633,,1,3,3,Dryad doi:10.5061/dryad.jq2bvq8k8 (hydroacoustic survey)
spawn_2014,2014,197,"10 km2 foraging area, coastal Newfoundland (capelin spawning-site cluster)",0.18966028699999998,0.040476332,0.21341490430202714,0.21341490430202714,,2,1,1,Dryad doi:10.5061/dryad.jq2bvq8k8 (hydroacoustic survey)
spawn_2015,2015,201,"10 km2 foraging area, coastal Newfoundland (capelin spawning-site cluster)",0.063127965,,,0.6368915899633388,,2,0,2,Dryad doi:10.5061/dryad.jq2bvq8k8 (hydroacoustic survey)
spawn_2016,2016,197,"10 km2 foraging area, coastal Newfoundland (capelin spawning-site cluster)",0.02712773,,,0.3557020804910695,,1,0,0,Dryad doi:10.5061/dryad.jq2bvq8k8 (hydroacoustic survey)
spawn_2017,2017,216,"10 km2 foraging area, coastal Newfoundland (capelin spawning-site cluster)",0.000827523,0.004809773,5.812252952485912,149.91242671471528,,1,1,2,Dryad doi:10.5061/dryad.jq2bvq8k8 (hydroacoustic survey)
spawn_2018,2018,191,"10 km2 foraging area, coastal Newfoundland (capelin spawning-site cluster)",0.018989300728380152,0.0020442648810535,0.10765351027372362,0.02710961950578538,,2,1,0,Dryad doi:10.5061/dryad.jq2bvq8k8 (hydroacoustic survey)
spawn_2019,2019,203,"10 km2 foraging area, coastal Newfoundland (capelin spawning-site cluster)",0.0080944453653015,0.0007156649546865,0.08841432888710876,0.036753541949628585,,1,1,2,Dryad doi:10.5061/dryad.jq2bvq8k8 (hydroacoustic survey)
spawn_2020,2020,211,"10 km2 foraging area, coastal Newfoundland (capelin spawning-site cluster)",0.0014338447773315666,,,0.8841423101400686,,3,0,2,Dryad doi:10.5061/dryad.jq2bvq8k8 (hydroacoustic survey)
