term,coef,p
const,0.259222082043964,0.26241261023684825
evt,0.8419201697581344,0.024152020116738143
post,0.07501629726153865,0.8277837431263175
y_2010,1.2311164513393278,2.0168011810945166e-179
y_2012,0.8141824621531811,6.675133843932742e-43
y_2014,1.3755193883104737,2.5941986787612617e-57
y_2015,0.6555209422447272,2.186124226289085e-12
y_2016,0.8961430232165892,0.00010691531300271217
y_2017,1.6719549767257633,0.0
y_2018,0.5220993908957209,0.00112080576779963
y_2019,0.8583282355711234,0.0
y_2020,0.6542575606517731,8.563333151850745e-09
