dropped_event,evt_coef,p,n,sign_reversed
2009,0.9983796674300347,0.03307872189589153,25,False
2010,0.9232722655478093,0.12327991448996246,22,False
2012,1.0910632370228595,0.017751961031983305,23,False
2014,0.7424433203954821,0.08466873870588415,24,False
2015,0.9166250496527901,0.032628668859908096,25,False
2016,0.916625049652787,0.030609664561626337,26,False
2017,0.6915158866510668,0.05215898614702413,25,False
2018,1.0429362936257371,0.02826989623742549,24,False
2019,0.9361695446992432,0.05063738945098212,25,False
2020,0.9166250496527896,0.034981730057297496,24,False
