oid,cid,idn,tna,att,rnk,tid,oei,eag,lag,aut,pby,rid,phl,cll,odl,fml,gnl,abv,abu,lng,lat,cnm,aka,cc2,stp,cny,prc,gsc,ggc,pm1,gpl,ps1,pln,pla,sfm,smb,ssc,scm,ldc,lt1,la1,lf1,ff1,env,cps,tpm,tpq,cct,ccx,ccu,ccm,rgp,jev,jmo,jlh,jdt,jre,jon,jco,oli,lm1,lt2,lf2,ccs,la2,ccv,sgr,gcm,srs,srb,sro,agb,agbu,agbm,agt,agtu,agtm,eid,iid,tdf,sls,slb,slo,ocm,tcm,jcm,ccc,ccd,idr,pcm,ptd,tpf,agd,agdc,agdu,agdm,altv,altu,ff2,ccr,cpa,cpb,cpt,acm,tps,flg,agtc,tec,szn,lm2,tpt,agbc,szt,tpa,slu,tpc,ctno,cpc,cpd,tpr
occ:137493,col:11601,Enaliarctos mealsi n. gen. n. sp.,Enaliarctos mealsi,Mitchell and Tedford 1973,3,txn:71871,Aquitanian,23.04,20.45,Mitchell and Tedford,1973,ref:4383,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Enaliarctos,14,specimens,-118.848335,35.492779,Pyramid Hill Sand Member grit zone,"LACMVP Loc. 1603, 1626, 1627; UCMP Loc. V-7032",US,California,Kern,__,local area,"low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)",gplates,130,mid,-105.16,39.96,Jewett,Pyramid Hill,bed,"grit zone; age assignments vary; age for this collection originally listed as Chattian after Scheirer and Magoon, 2007 and Barboza et al., 2017; but Aquitanian after discussion in Shimada et al. 2014","contains pebbles, rounded black chert grains, angular quartz clasts, and is referred to as the """"grit zone"""" by some geologists",sandstone,concretionary,lithified,Y,marine indet.,macrofossils,"body,concretion,permineralized,original phosphate",good,taxonomic,"surface (in situ),chemical,mechanical,field collection",LACM,Pyramid Hill Local Fauna,"marine invertebrate,vertebrate",coastal,actively mobile,amphibious,carnivore,viviparous,modification of parts,hydroxyapatite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:137494,col:11601,,Argyrocetus joaquinensis,Kellogg 1932,3,txn:69897,Aquitanian,23.04,20.45,Barnes,1979,ref:4175,Chordata,Mammalia,Cetacea,NO_FAMILY_SPECIFIED,Argyrocetus,1,specimens,-118.848335,35.492779,Pyramid Hill Sand Member grit zone,"LACMVP Loc. 1603, 1626, 1627; UCMP Loc. V-7032",US,California,Kern,__,local area,"low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)",gplates,130,mid,-105.16,39.96,Jewett,Pyramid Hill,bed,"grit zone; age assignments vary; age for this collection originally listed as Chattian after Scheirer and Magoon, 2007 and Barboza et al., 2017; but Aquitanian after discussion in Shimada et al. 2014","contains pebbles, rounded black chert grains, angular quartz clasts, and is referred to as the """"grit zone"""" by some geologists",sandstone,concretionary,lithified,Y,marine indet.,macrofossils,"body,concretion,permineralized,original phosphate",good,taxonomic,"surface (in situ),chemical,mechanical,field collection",LACM,Pyramid Hill Local Fauna,"marine invertebrate,vertebrate","marine,freshwater",actively mobile,"aquatic, depth=surface",carnivore,viviparous,modification of parts,hydroxyapatite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:137495,col:11601,,Pinnarctidion bishopi,Barnes 1979,3,txn:72007,Aquitanian,23.04,20.45,Barnes,1979,ref:4175,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Pinnarctidion,2,specimens,-118.848335,35.492779,Pyramid Hill Sand Member grit zone,"LACMVP Loc. 1603, 1626, 1627; UCMP Loc. V-7032",US,California,Kern,__,local area,"low hills in a northwest southeast trending belt between the Sierra Nevada and the area of the city of Bakersfield; LACM 1626 is in the ""center of SE1/4 of Sect 15, T 28 S, R 29 E"" (Howard 1969: basis of coordinate)",gplates,130,mid,-105.16,39.96,Jewett,Pyramid Hill,bed,"grit zone; age assignments vary; age for this collection originally listed as Chattian after Scheirer and Magoon, 2007 and Barboza et al., 2017; but Aquitanian after discussion in Shimada et al. 2014","contains pebbles, rounded black chert grains, angular quartz clasts, and is referred to as the """"grit zone"""" by some geologists",sandstone,concretionary,lithified,Y,marine indet.,macrofossils,"body,concretion,permineralized,original phosphate",good,taxonomic,"surface (in situ),chemical,mechanical,field collection",LACM,Pyramid Hill Local Fauna,"marine invertebrate,vertebrate",coastal,actively mobile,amphibious,carnivore,viviparous,modification of parts,hydroxyapatite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:147936,col:13061,Atopotarus courseni n. gen. n. sp.,Atopotarus courseni,(Downs 1956),3,txn:53071,Late Hemingfordian,18.5,12.5,Downs,1956,ref:4342,Chordata,Mammalia,Carnivora,Desmatophocidae,Atopotarus,,,-118.339996,33.772999,Coursen garden,LACM 1098,US,California,Los Angeles,__,small collection,"Garden walk of Mr. and Mrs. Walter H. Coursen, Jr., 3 Meadowlark Lane, Rolling Hills, CA. directly west of hill 443 and north & degrees west of hill 918 (see Woodring, et al., 1946, geol. map).",gplates,not computable using this model,mid,,,Monterey,Altamira,member,,"hard, siliceous limestone with parallel layers of opaline chert wich occasionaly replaced portions of the actual skeleton","""limestone""",,lithified,,carbonate indet.,macrofossils,"body,original phosphate,replaced with silica",good,taxonomic,"surface (float),mechanical,field collection",LACM,,vertebrate,marine,actively mobile,amphibious,carnivore,viviparous,modification of parts,hydroxyapatite,Early Barstovian,cherty/siliceous,chert,lithified,1 specimens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:148335,col:13090,Praekogia cedrosensis n. gen. n. sp.,Praekogia cedrosensis,Barnes 1973,3,txn:53139,Messinian,7.246,5.333,Barnes,1973,ref:4361,Chordata,Mammalia,Cetacea,Kogiidae,Praekogia,,,-115.183334,28.366667,Arroyo Delphin,UCR RV-7315,MX,Baja California,,__,outcrop,"on the ridge west of ""Arroyo Delphin"" the first prominent drainage system to reach the shoreline north of the point where Valle Blanca reaches the shoreline, south of the cannery village, Isla Cedros, Baja California, Mexico
",gplates,not computable using this model,mid,,,Almejas,lower,formation,An ochre-yellow sand designated as unit O in Richard H. Tedford's field notes of 1965. Horizon is about 6 feet stratigraphically below the first and lowest prominent pebble conglomerate in the Almejas Formation exposed at locality UCR RV-7315.,an ocre-yellow sand,sandstone,yellow,poorly lithified,Y,coastal indet.,macrofossils,"body,original phosphate",good,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,,vertebrate,"marine,freshwater",actively mobile,"aquatic, depth=surface",carnivore,viviparous,modification of parts,hydroxyapatite,,,conglomerate,,,pebbly,some macrofossils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:148354,col:13093,ex gr. Desmostylus hesperus n. sp.,Desmostylus hesperus,Marsh 1888,3,txn:71834,Serravallian,13.82,7.246,Marsh,1888,ref:4363,Chordata,Mammalia,Desmostyloidea,Desmostylidae,Desmostylus,,,-121.922775,37.556389,"Mission San Jose, east",,US,California,Alameda,__,local area,East of Mision San Jose,gplates,130,mid,-116.75,39.97,Briones,,,"location, age, and formation data from Domning (1996).
AGE: edited following EPICC stratigraphic revision [6/13/2020].",,not reported,,,,marine indet.,macrofossils,body,,taxonomic,field collection,YPM,,vertebrate,coastal,actively mobile,amphibious,herbivore,viviparous,modification of parts,hydroxyapatite,Tortonian,,,,,,some macrofossils,San Pablo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:148358,col:13098,Mixocetus elysius n. gen. n. sp.,Mixocetus elysius,Kellogg 1934,3,txn:64432,Tortonian,11.63,7.246,Kellogg,1934,ref:10152,Chordata,Mammalia,Cetacea,Tranatocetidae,Mixocetus,,,-118.199448,34.083611,Lincoln Heights,,US,California,Los Angeles,__,outcrop,,gplates,105,mid,-114.35,35.74,Modelo,Elysian Park Sandstone,member,"It is not crystal clear from Kelogg (1934) what age this fossil is from. He states that the Elysian Park sandstone ""is to be correlated with the  Monterey Formation [...] above the top of the Valvulineria californica  zone"". There is no discussion of the Elysian Park sandstone in the geological literature, but Bussino & Barnes, 1984 give it an age of 10-11 Mya.",,sandstone,,,Y,coastal indet.,macrofossils,"body,original phosphate",,general faunal/floral,"selective quarrying,field collection",,,vertebrate,marine,actively mobile,aquatic,"carnivore, suspension feeder",viviparous,modification of parts,hydroxyapatite,,,,,,,,,"coastal, sandstone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:149438,col:13192,,Allodesmus kernensis,Kellogg 1922,3,txn:72005,Langhian,15.98,13.82,Barnes,1972,ref:4384,Chordata,Mammalia,Carnivora,Desmatophocidae,Allodesmus,,,-118.985001,35.386112,CAS locality 275,,US,California,Kern,__,outcrop,"Kern River, Miocene, 1 mi west of Kern River, 4 miles above oil city, Sec. 28, T 28 S, R 28 E ",gplates,130,mid,-111.56,38.5,Round Mountain,,,Age after Scheirer and Magoon 2007,,siltstone,,,,marine indet.,macrofossils,body,,taxonomic,field collection,,,vertebrate,marine,actively mobile,amphibious,carnivore,viviparous,modification of parts,hydroxyapatite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:150836,col:13408,,Thinocetus arthritus,Kellogg 1969,3,txn:53147,Serravallian,13.82,11.63,Kellogg,1969,ref:6034,Chordata,Mammalia,Cetacea,NO_FAMILY_SPECIFIED,Thinocetus,1,specimens,-76.471107,38.463890,"Calvert Beach Run, south of, Zone 19",,US,Maryland,Calvert,__,outcrop,1.9 miles south of Calvert Beach Run,gplates,109,mid,-70.39,39.98,Choptank,Boston Cliffs,,"in shell layer of sandy zone 19, about 14 feet above beach level",sandy layer,sandstone,,,Y,offshore shelf,macrofossils,body,good,taxonomic,"surface (in situ),field collection",,,"marine invertebrate,vertebrate",marine,actively mobile,aquatic,"carnivore, suspension feeder",viviparous,modification of parts,hydroxyapatite,,sandy,,,,,some macrofossils,Chesapeake,The Choptank Formation exhibits an offshore middle neritic environment. It is shallow and open-shelf. ,Shattuck,19,bottom to top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:150841,col:13407,Thinocetus arthritus n. gen. n. sp.,Thinocetus arthritus,Kellogg 1969,3,txn:53147,Serravallian,13.82,11.63,Kellogg,1969,ref:6034,Chordata,Mammalia,Cetacea,NO_FAMILY_SPECIFIED,Thinocetus,,,-76.766670,38.162224,"Mud Cliffs, East of",,US,Virginia,Westmoreland,__,outcrop,"low cliff east of Mud Cliffs on south shore of Potomac River (7/10) mile west of Hulover Point on Haulover Inlet), 180 feet west of Md.-Va. Boundary Monument 24",gplates,109,mid,-70.72,39.7,Choptank,,,"three feet ten inches below zone 17 shell bed

The Choptank Formation as a whole falls into dinoflagellate zone DN6 [94], which in turn partially correlates with foraminiferal zones N10–11 (14.2–13.4 Ma [20]) and nannoplankton zone NN6 (13.5–11.9 Ma [20]) [94]. The overlap of these zones defines a narrow age range of 13.5–13.4 Ma, which fits well with strontium dates of ca. 13 Ma [48, 49], and the 13.9–13.8 Ma expansion of the East Antarctic Ice Sheet interpreted to mark the transition between the Calvert and Choptank formations [49]. (Marx & Fordyce, 2015)
",greenish sandy silt,siltstone,green,,Y,offshore shelf,macrofossils,body,good,taxonomic,"surface (float),field collection",,,"marine invertebrate,vertebrate",marine,actively mobile,aquatic,"carnivore, suspension feeder",viviparous,modification of parts,hydroxyapatite,,sandy,,,,,some macrofossils,Chesapeake,The Choptank Formation exhibits an offshore middle neritic environment. It is shallow and open-shelf. ,Shattuck,17,bottom to top,13.5,Ma,other,13.4,Ma,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
