,value
herbivore_simpson_mean_pairwise_beta,0.9262678604870539
herbivore_simpson_mantel_r,0.08667799651015347
herbivore_simpson_mantel_p,0.0001
herbivore_simpson_n_collections,1661.0
predator_simpson_mean_pairwise_beta,0.8978890031741464
predator_simpson_mantel_r,0.10265724536633178
predator_simpson_mantel_p,0.0001
predator_simpson_n_collections,809.0
delta_beta_simpson_overall,-0.028378857312907457
delta_beta_simpson_boot_lo,-0.04038795301059248
delta_beta_simpson_boot_hi,-0.017724720099449903
delta_beta_simpson_boot_p_gt0,0.0
herbivore_sorensen_mean_pairwise_beta,0.9670783683391416
herbivore_sorensen_mantel_r,0.08784963430656373
herbivore_sorensen_mantel_p,0.0001
herbivore_sorensen_n_collections,1661.0
predator_sorensen_mean_pairwise_beta,0.9408475985698518
predator_sorensen_mantel_r,0.10277533377365376
predator_sorensen_mantel_p,0.0001
predator_sorensen_n_collections,809.0
delta_beta_sorensen_overall,-0.02623076976928984
delta_beta_sorensen_boot_lo,-0.03356993962876012
delta_beta_sorensen_boot_hi,-0.02063035349794384
delta_beta_sorensen_boot_p_gt0,0.0
