R04_都道府県別SCR_診療行為区分,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
章,区分番号,代表名称,入外区分,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
A,0,初診料等,1,111,91,89.4,100.1,88.3,104.1,90.5,85.5,94.6,111.2,82.7,83.8,93.4,85.8,87.6,102.8,106.3,97.5,93,100.7,97.2,89.4,101.1,96.3,94.3,104.8,115.7,108,105.2,110.2,110.7,113.4,101.1,102.1,106.8,107.5,106.8,102.8,109.6,115.7,129.9,109.8,113.8,127.9,101.8,121.7,123.9
A,0,初診料等,2,88.9,84.6,84.3,92.5,83.4,98.2,88.6,88.6,93.1,98.8,93,89.7,114,96.7,89.6,90.7,100.5,99.4,97.9,88.7,100.8,93.5,105.9,98.4,93.3,93.8,105.4,106.3,100.7,104,94,94.9,100.2,104.7,99.9,106.8,107.5,103.5,92.5,107.8,110.1,96.2,105.5,104.4,114.5,110.6,105.8
A,0,初診料等,3,89.3,84.8,84.4,92.6,83.5,98.3,88.6,88.6,93.1,99,92.9,89.6,113.7,96.6,89.5,91,100.6,99.4,97.8,88.9,100.8,93.5,105.9,98.4,93.3,94,105.5,106.4,100.8,104.1,94.3,95.3,100.2,104.7,100,106.8,107.5,103.5,92.8,108,110.5,96.5,105.7,104.9,114.2,110.8,106.1
A,1,再診料等,2,86.3,103.3,102.4,107.3,97.7,111.6,99.9,90.4,101.7,102.3,90.2,86.5,106.3,97.4,94.8,86.8,88.4,94.3,97.3,93.3,102.2,103.9,107.4,107.1,91,93.2,102.7,106.1,96.5,108.7,97,105.8,101.4,106,108.1,101.2,105.6,99.7,92.8,106.7,116.6,107.7,110.3,103.9,106.5,105.4,78.3
A,2,外来診療料等,1,1.7,,,7.2,,,,,,,,,48.4,10.2,,134.5,83.4,,,46.5,,,90.2,4.5,,,1137.6,37,,8.9,,34.5,,66,,,,,,,,17.4,,,,,77.1
A,2,外来診療料等,2,108.2,92.9,79.8,89.1,125.8,112.1,97.8,88.1,116.8,79.8,77.5,101.2,125.9,96.8,106.4,124.2,126,101.5,93.7,115.7,102.8,99.6,105.4,91.8,115.5,120.6,116,86.8,112.9,105,113.9,87,98.1,94.2,96.5,93.7,92.1,97.8,75,86.9,58.2,76.9,76.3,61.6,55,55.1,95.5
A,2,外来診療料等,3,108.2,92.9,79.8,89,125.8,112.1,97.8,88.1,116.8,79.8,77.5,101.2,125.9,96.8,106.4,124.2,125.9,101.5,93.7,115.7,102.8,99.6,105.4,91.8,115.5,120.6,116,86.8,112.9,105,113.9,87,98.1,94.2,96.5,93.7,92.1,97.8,75,86.9,58.2,76.9,76.3,61.6,55,55.1,95.5
A,100,一般病棟入院基本料等,1,118.6,96.6,81.7,104.8,95.6,97.9,100.6,92.9,80.9,106.7,83.1,97.3,89.2,88.3,88.4,106,101.1,105,85.9,102.9,95,89.2,96.8,96.3,101.1,110.7,106.7,103.8,106.3,103.5,105.1,100.2,109.3,110.6,106.5,99.6,111.6,103.7,103.5,115,116.6,109.1,112.1,132.6,105.6,120.8,117.5
A,101,療養病棟入院基本料等,1,153,57.2,64.5,73.3,71.2,66.3,64.7,89.8,95.3,88.3,82.1,83.9,76.3,69.4,57.5,184.1,141.3,108.4,100.8,63.6,56,96.1,90.5,77.9,95.3,61.7,115.6,110.2,69.4,78.9,94,98.1,95.2,118.6,214.6,155.8,79.5,114.6,224.3,149.3,183.7,178.7,161.2,59.4,97.6,157,124.2
