country,t_fert,t_mort,lambda_plateau,e0_start,e0_end,n_years
United Kingdom,1828.0,1875,40.86,38.6,81.0,216
Lithuania,1837.0,1882,42.9,28.9,74.7,216
United States,1847.0,1881,48.199999999999996,39.4,79.0,216
Israel,1852.0,1935,41.699999999999996,32.0,82.7,216
Greece,1853.0,1904,45.0,36.6,80.9,216
Latvia,1858.0,1876,36.63333333333333,33.0,75.1,216
Estonia,1865.0,1869,41.03333333333333,36.1,77.8,216
Poland,1865.0,1902,43.46666666666667,35.9,77.6,216
Sweden,1866.0,1813,31.5,32.2,82.5,216
Australia,1867.0,1880,44.833333333333336,34.0,82.7,216
Canada,1868.0,1878,40.0,39.0,82.3,216
Iceland,1868.0,1805,34.7,42.9,83.7,216
Ireland,1873.0,1850,30.4,38.3,81.7,216
France,1875.0,1817,29.066666666666666,34.0,82.5,216
Czech Republic,1877.0,1901,42.6,35.0,79.0,216
New Zealand,1882.0,1882,37.0,34.0,81.7,216
Switzerland,1883.0,1882,30.0,38.0,83.6,216
Cyprus,1884.0,1904,42.0,38.5,80.5,216
Italy,1885.0,1883,38.4,29.7,82.7,216
Austria,1887.0,1896,36.1,34.4,81.6,216
Belgium,1889.0,1874,34.46666666666667,40.0,81.1,216
Norway,1890.0,1814,29.380000000000003,37.9,82.4,216
Uruguay,1895.0,1929,41.56666666666667,32.9,77.1,216
Belarus,1895.0,1922,48.1,36.2,73.7,216
Hungary,1896.0,1921,36.6,36.0,75.9,216
Montenegro,1897.0,1922,41.2,35.4,75.3,216
Netherlands,1898.0,1875,36.1,39.9,81.7,216
Germany,1898.0,1899,37.96666666666667,38.4,80.9,216
Slovak Republic,1900.0,1912,41.4,36.4,76.8,216
Ukraine,1901.0,1922,51.3,36.6,72.5,216
Denmark,1901.0,1835,30.28,37.4,81.0,216
Croatia,1902.0,1922,40.2,36.1,77.7,216
Argentina,1902.0,1902,46.9,33.2,76.5,216
North Macedonia,1903.0,1924,41.2,36.1,74.0,216
Serbia,1903.0,1918,41.2,35.5,75.1,216
Luxembourg,1904.0,1889,34.0,36.9,82.3,216
Spain,1906.0,1899,36.3,29.5,82.8,216
Georgia,1911.0,1903,53.2,31.9,73.3,216
Finland,1911.0,1812,36.12,36.6,81.7,216
Russia,1912.0,1904,48.1,29.6,71.5,216
Slovenia,1912.0,1922,34.93333333333333,36.6,81.0,216
Romania,1916.0,1927,36.8,35.7,75.3,216
Bulgaria,1922.0,1901,36.5,35.8,73.2,216
Moldova,1922.0,1931,44.3,33.1,72.1,216
