country,unit,year,e0,lambda,source
Germany,Stuttgart,2019,82.4,10.0,Eurostat NUTS2
Germany,Karlsruhe,2019,81.7,9.5,Eurostat NUTS2
Germany,Freiburg,2019,82.2,9.8,Eurostat NUTS2
Germany,Tübingen,2019,82.3,9.9,Eurostat NUTS2
Germany,Oberbayern,2019,82.7,10.3,Eurostat NUTS2
Germany,Niederbayern,2019,81.4,9.1,Eurostat NUTS2
Germany,Oberpfalz,2019,81.2,9.7,Eurostat NUTS2
Germany,Oberfranken,2019,81.1,8.7,Eurostat NUTS2
Germany,Mittelfranken,2019,81.2,9.8,Eurostat NUTS2
Germany,Unterfranken,2019,82.0,9.2,Eurostat NUTS2
Germany,Schwaben,2019,82.0,9.9,Eurostat NUTS2
Germany,Berlin,2019,81.3,10.8,Eurostat NUTS2
Germany,Brandenburg,2019,80.9,7.7,Eurostat NUTS2
Germany,Bremen,2019,80.5,10.5,Eurostat NUTS2
Germany,Hamburg,2019,81.4,11.4,Eurostat NUTS2
Germany,Darmstadt,2019,82.0,10.0,Eurostat NUTS2
Germany,Gießen,2019,80.9,8.8,Eurostat NUTS2
Germany,Kassel,2019,81.2,8.8,Eurostat NUTS2
Germany,Mecklenburg-Vorpommern,2019,80.1,7.9,Eurostat NUTS2
Germany,Braunschweig,2019,80.5,9.0,Eurostat NUTS2
Germany,Hannover,2019,80.9,9.0,Eurostat NUTS2
Germany,Lüneburg,2019,80.8,8.8,Eurostat NUTS2
Germany,Weser-Ems,2019,80.9,9.7,Eurostat NUTS2
Germany,Düsseldorf,2019,80.5,9.5,Eurostat NUTS2
Germany,Köln,2019,81.2,9.6,Eurostat NUTS2
Germany,Münster,2019,81.0,9.6,Eurostat NUTS2
Germany,Detmold,2019,81.4,9.7,Eurostat NUTS2
Germany,Arnsberg,2019,80.3,9.2,Eurostat NUTS2
Germany,Koblenz,2019,81.0,8.9,Eurostat NUTS2
Germany,Trier,2019,81.6,8.9,Eurostat NUTS2
Germany,Rheinhessen-Pfalz,2019,81.2,9.2,Eurostat NUTS2
Germany,Saarland,2019,80.1,8.1,Eurostat NUTS2
Germany,Dresden,2019,81.7,8.6,Eurostat NUTS2
Germany,Chemnitz,2019,80.7,7.5,Eurostat NUTS2
Germany,Leipzig,2019,80.9,9.6,Eurostat NUTS2
Germany,Sachsen-Anhalt,2019,79.9,7.5,Eurostat NUTS2
Germany,Schleswig-Holstein,2019,80.9,8.5,Eurostat NUTS2
Germany,Thüringen,2019,80.6,7.8,Eurostat NUTS2
Spain,Galicia,2019,83.6,5.8,Eurostat NUTS2
Spain,Principado de Asturias,2019,82.9,5.1,Eurostat NUTS2
Spain,Cantabria,2019,83.6,6.1,Eurostat NUTS2
Spain,País Vasco,2019,84.0,7.0,Eurostat NUTS2
Spain,Comunidad Foral de Navarra,2019,84.6,8.2,Eurostat NUTS2
Spain,La Rioja,2019,83.9,7.6,Eurostat NUTS2
Spain,Aragón,2019,84.0,7.3,Eurostat NUTS2
Spain,Comunidad de Madrid,2019,85.1,8.4,Eurostat NUTS2
Spain,Castilla y León,2019,84.3,6.0,Eurostat NUTS2
Spain,Castilla-La Mancha,2019,83.6,7.5,Eurostat NUTS2
