pop,region,n_total,n_window_individuals,n_window_segments,n_strict_individuals,n_strict_segments,window_individual_frequency,strict_individual_frequency,analysis_group
CLM,AMERICA,132,50,61,5,5,0.3787878787878788,0.03787878787878788,Admixed Americas
MXL,AMERICA,97,27,27,2,2,0.27835051546391754,0.020618556701030927,Admixed Americas
PEL,AMERICA,122,14,16,2,2,0.11475409836065574,0.01639344262295082,Admixed Americas
PUR,AMERICA,139,43,46,11,11,0.30935251798561153,0.07913669064748201,Admixed Americas
BEB,CENTRAL_SOUTH_ASIA,131,10,12,4,4,0.07633587786259542,0.030534351145038167,Central/South Asia
Balochi,CENTRAL_SOUTH_ASIA,24,5,5,0,0,0.20833333333333334,0.0,Central/South Asia
Brahui,CENTRAL_SOUTH_ASIA,25,6,7,0,0,0.24,0.0,Central/South Asia
Burusho,CENTRAL_SOUTH_ASIA,24,1,1,0,0,0.041666666666666664,0.0,Central/South Asia
GIH,CENTRAL_SOUTH_ASIA,103,22,24,10,10,0.21359223300970873,0.0970873786407767,Central/South Asia
Hazara,CENTRAL_SOUTH_ASIA,19,4,4,1,1,0.21052631578947367,0.05263157894736842,Central/South Asia
ITU,CENTRAL_SOUTH_ASIA,107,11,14,4,4,0.102803738317757,0.037383177570093455,Central/South Asia
Kalash,CENTRAL_SOUTH_ASIA,22,4,4,2,2,0.18181818181818182,0.09090909090909091,Central/South Asia
Makrani,CENTRAL_SOUTH_ASIA,25,7,9,0,0,0.28,0.0,Central/South Asia
PJL,CENTRAL_SOUTH_ASIA,146,37,40,7,7,0.2534246575342466,0.04794520547945205,Central/South Asia
Pathan,CENTRAL_SOUTH_ASIA,24,3,4,1,1,0.125,0.041666666666666664,Central/South Asia
STU,CENTRAL_SOUTH_ASIA,114,11,11,1,1,0.09649122807017543,0.008771929824561403,Central/South Asia
Sindhi,CENTRAL_SOUTH_ASIA,24,3,3,1,1,0.125,0.041666666666666664,Central/South Asia
Uygur,CENTRAL_SOUTH_ASIA,10,1,2,0,0,0.1,0.0,Central/South Asia
CDX,EAST_ASIA,93,9,9,2,2,0.0967741935483871,0.021505376344086023,East Asia
CHB,EAST_ASIA,103,5,5,0,0,0.04854368932038835,0.0,East Asia
CHS,EAST_ASIA,163,12,12,0,0,0.0736196319018405,0.0,East Asia
Cambodian,EAST_ASIA,9,1,1,0,0,0.1111111111111111,0.0,East Asia
Dai,EAST_ASIA,9,0,0,0,0,0.0,0.0,East Asia
Daur,EAST_ASIA,9,0,0,0,0,0.0,0.0,East Asia
Han,EAST_ASIA,33,1,1,0,0,0.030303030303030304,0.0,East Asia
Hezhen,EAST_ASIA,9,1,1,0,0,0.1111111111111111,0.0,East Asia
JPT,EAST_ASIA,104,13,13,5,5,0.125,0.04807692307692308,East Asia
Japanese,EAST_ASIA,27,5,6,0,0,0.18518518518518517,0.0,East Asia
KHV,EAST_ASIA,122,6,6,0,0,0.04918032786885246,0.0,East Asia
Lahu,EAST_ASIA,8,0,0,0,0,0.0,0.0,East Asia
Miao,EAST_ASIA,10,0,0,0,0,0.0,0.0,East Asia
Mongolian,EAST_ASIA,9,1,1,1,1,0.1111111111111111,0.1111111111111111,East Asia
Naxi,EAST_ASIA,8,0,0,0,0,0.0,0.0,East Asia
NorthernHan,EAST_ASIA,10,1,1,0,0,0.1,0.0,East Asia
Oroqen,EAST_ASIA,9,2,2,2,2,0.2222222222222222,0.2222222222222222,East Asia
She,EAST_ASIA,10,0,0,0,0,0.0,0.0,East Asia
Tu,EAST_ASIA,10,0,0,0,0,0.0,0.0,East Asia
Tujia,EAST_ASIA,9,0,0,0,0,0.0,0.0,East Asia
Xibo,EAST_ASIA,9,1,1,0,0,0.1111111111111111,0.0,East Asia
Yakut,EAST_ASIA,25,10,10,2,2,0.4,0.08,East Asia
Yi,EAST_ASIA,10,0,0,0,0,0.0,0.0,East Asia
Adygei,EUROPE,16,5,5,1,1,0.3125,0.0625,Europe
Basque,EUROPE,23,17,22,1,1,0.7391304347826086,0.043478260869565216,Europe
BergamoItalian,EUROPE,12,3,3,1,1,0.25,0.08333333333333333,Europe
CEU,EUROPE,179,73,87,9,9,0.40782122905027934,0.05027932960893855,Europe
FIN,EUROPE,99,21,28,5,6,0.21212121212121213,0.050505050505050504,Europe
French,EUROPE,28,14,18,3,3,0.5,0.10714285714285714,Europe
GBR,EUROPE,91,35,44,8,9,0.38461538461538464,0.08791208791208792,Europe
IBS,EUROPE,157,73,86,10,12,0.46496815286624205,0.06369426751592357,Europe
Orcadian,EUROPE,15,8,10,1,1,0.5333333333333333,0.06666666666666667,Europe
Russian,EUROPE,25,8,9,1,1,0.32,0.04,Europe
Sardinian,EUROPE,28,10,14,1,1,0.35714285714285715,0.03571428571428571,Europe
TSI,EUROPE,107,43,59,11,11,0.40186915887850466,0.102803738317757,Europe
Tuscan,EUROPE,8,3,3,0,0,0.375,0.0,Europe
Colombian,AMERICA,7,0,0,0,0,0.0,0.0,Indigenous Americas
Maya,AMERICA,21,1,1,0,0,0.047619047619047616,0.0,Indigenous Americas
Pima,AMERICA,13,1,1,1,1,0.07692307692307693,0.07692307692307693,Indigenous Americas
Bedouin,MIDDLE_EAST,46,12,17,2,3,0.2608695652173913,0.043478260869565216,Middle East
Druze,MIDDLE_EAST,42,18,21,1,1,0.42857142857142855,0.023809523809523808,Middle East
Mozabite,MIDDLE_EAST,27,13,16,3,3,0.48148148148148145,0.1111111111111111,Middle East
Palestinian,MIDDLE_EAST,46,5,5,1,1,0.10869565217391304,0.021739130434782608,Middle East
Bougainville,OCEANIA,11,4,7,1,1,0.36363636363636365,0.09090909090909091,Oceania
PapuanHighlands,OCEANIA,9,7,9,0,0,0.7777777777777778,0.0,Oceania
PapuanSepik,OCEANIA,8,7,10,0,0,0.875,0.0,Oceania
Karitiana,AMERICA,12,0,0,0,0,0.0,0.0,Other Americas
Surui,AMERICA,8,0,0,0,0,0.0,0.0,Other Americas
