term,coef,p
state_Wyoming,17.36292276290642,0.0
state_Utah,16.78298939558825,4.262896461250035e-206
state_New Mexico,17.765679299141876,3.0322943790914556e-202
state_Montana,16.19866117464811,4.002069753647878e-51
state_South Dakota,17.68434194780866,1.881491263002102e-47
const,-15.11552268161315,3.851528147931425e-11
state_Oklahoma,14.106184451350678,8.99497851604382e-10
n_dino_taxa,1.3823854000735012,6.030206270323421e-08
systems_tract_6.0,-5.102776347809379,0.006417828842665332
systems_tract_3.0,-3.0005265548643787,0.04975160593797947
systems_tract_unknown,-3.1587768022668716,0.05207418354994893
systems_tract_4.0,-2.932246922978358,0.06697001390614811
environment_crevasse splay,-1.475413439085719,0.10386107203626785
systems_tract_5.0,-2.731905197770029,0.10403969475629266
environment_coarse channel fill,-2.8571704987454583,0.11406125770527373
environment_fine channel fill,-6.219938087379203,0.19120217622448155
environment_pond,1.2117663907245912,0.28019698867996123
lithology1_unknown,-1.7843687983500083,0.3612354357571341
environment_wet floodplain,0.6938818872886766,0.4116779358637138
member_unknown,-0.4568896228776873,0.4285010679079432
member_Salt Wash,-1.0639454469833722,0.4523637171981476
lithology1_mudstone,-1.267743672412519,0.4765630647986675
lithology1_not reported,-1.211098092830811,0.4915254850567551
member_Lake Como,-1.2188809838224755,0.5006825276682556
environment_fluvial indet.,0.8022652935173623,0.5224762790934699
environment_fluvial-lacustrine indet.,-2.3589108412109248,0.5296041514333025
member_Unit B,0.7670835663217995,0.6423130302571289
lithology1_sandstone,-0.6698547630759621,0.7089783819394861
lithology1_claystone,-0.7156864127090646,0.7189106718112106
environment_levee,0.5218815711817991,0.7904251957694464
environment_dry floodplain,0.32020537546602534,0.7944175694768817
environment_terrestrial indet.,0.12905380306051933,0.8590864703545813
lithology1_siltstone,0.03728599592523071,0.9856712933293122
lithology1_lime mudstone,55.78239137612175,0.9979839993125676
environment_lacustrine indet.,-35.40414606486506,0.998232057131043
member_Talking Rocks,15.313292067825692,0.9988657797400402
"environment_""floodplain""",-26.209658979423725,0.999222568443267
lithology1_conglomerate,24.32929351434311,0.9992361014041159
lithology1_marl,-25.2372830899176,0.9992514110905213
member_Jackpile Sandstone,-20.83014337367126,0.9993821357824512
member_Recapture,-20.191423975328302,0.9994010814912686
member_Indian Fort,-20.794474135874363,0.9994083998365955
"lithology1_""siliciclastic""",19.006210667165615,0.9994232931881167
environment_channel lag,-19.07120230822949,0.9994343095392747
environment_delta plain,9.892869731586382,0.9997065574847399
environment_deltaic indet.,-1.3512714086423592,0.9999858992915934
environment_alluvial fan,-10.533651266428773,
lithology1_gravel,-10.533651266038174,
state_Colorado,16.233268065104184,
