oid,cid,tna,att,rnk,tid,oei,eag,lag,aut,pby,rid,phl,cll,odl,fml,gnl,abv,abu,lng,lat,cnm,aka,cc2,stp,prc,gsc,ggc,pm1,gpl,ps1,pln,pla,sfm,ssc,scm,ldc,lt1,la1,ff1,env,gcm,cps,tpm,tpq,pcm,cct,ccx,ccv,ccc,ccd,rgp,jev,jmo,jlh,jdt,jre,jon,jco,jsa,idn,iid,tdf,eid,flg,ocm,altv,altu,cpb,tpf,ccu,lt2,cpa,cpt,tps,tpt,tpc,tpo,tpb,tpe,jth,lm1,ff2,lm2,smb,lf1,ccm,idr,jcm,la2,cpc,acm,tcm,ccs,tpl,tpr,ccr,sls,slb,slu,slo,cpd,tpa,cny,jvs
occ:148628,col:13108,Mononykus olecranus,(Perle et al. 1993),3.0,txn:67287,Maastrichtian,72.2,66,Perle et al.,1994,ref:4373,Chordata,Reptilia,NO_ORDER_SPECIFIED,Alvarezsauridae,Mononykus,1,individuals,99.599998,43.540001,Bugin Tsav [AMNH],Buguin-Tzav,MN,Omnogov,__,small collection,"Bugin Tsav, South Gobi Aimak (= Omnogov), southwest Mongolia",gplates,628,mid,93.05,36.26,Nemegt,group of beds,age based on biostratigraphy; no absolute or correlative dating available for most Late Cretaceous Mongolian beds,"variegated, predominately red sandstones",sandstone,red,Y,terrestrial indet.,no information given,macrofossils,body,good,no details given,taxonomic,"selective quarrying,mechanical,field collection",some macrofossils,AMNH,1990s,vertebrate,terrestrial,actively mobile,"ground dwelling, solitary",carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",hydroxyapatite,compact or dense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:148629,col:13108,Tarbosaurus bataar,(Maleev 1955),3.0,txn:63705,Maastrichtian,72.2,66,Perle et al.,1994,ref:4373,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tarbosaurus,,,99.599998,43.540001,Bugin Tsav [AMNH],Buguin-Tzav,MN,Omnogov,__,small collection,"Bugin Tsav, South Gobi Aimak (= Omnogov), southwest Mongolia",gplates,628,mid,93.05,36.26,Nemegt,group of beds,age based on biostratigraphy; no absolute or correlative dating available for most Late Cretaceous Mongolian beds,"variegated, predominately red sandstones",sandstone,red,Y,terrestrial indet.,no information given,macrofossils,body,good,no details given,taxonomic,"selective quarrying,mechanical,field collection",some macrofossils,AMNH,1990s,vertebrate,terrestrial,actively mobile,"ground dwelling, solitary",carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",hydroxyapatite,compact or dense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:148630,col:13108,Testudines,(Batsch 1788),13.0,txn:56475,Maastrichtian,72.2,66,Perle et al.,1994,ref:4373,Chordata,Reptilia,Testudines,,,,,99.599998,43.540001,Bugin Tsav [AMNH],Buguin-Tzav,MN,Omnogov,__,small collection,"Bugin Tsav, South Gobi Aimak (= Omnogov), southwest Mongolia",gplates,628,mid,93.05,36.26,Nemegt,group of beds,age based on biostratigraphy; no absolute or correlative dating available for most Late Cretaceous Mongolian beds,"variegated, predominately red sandstones",sandstone,red,Y,terrestrial indet.,no information given,macrofossils,body,good,no details given,taxonomic,"selective quarrying,mechanical,field collection",some macrofossils,AMNH,1990s,vertebrate,terrestrial,actively mobile,,,,,hydroxyapatite,,Chelonia indet.,txn:36325,species not entered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:150324,col:13347,Macroolithus rugustus,(Young 1965),3.0,txn:67191,Maastrichtian,72.2,66,Mikhailov,2000,ref:18353,Chordata,Reptilia,NO_ORDER_SPECIFIED,Elongatoolithidae,Macroolithus,2,specimens,99.926941,43.720554,"Haichin Ula I [SMGE, SMPE] (PIN coll. 4230)","Khaichin Ula, Soviet-Mongolian Geological Expedition, Khaychin-Ula",MN,Ovorhangai,__,small collection,"Trainsaltaian Gobi, a few km S of Haichin Ula (= Khaychin-Ula) Mtn.",gplates,628,mid,93.27,36.5,Nemegt,group of beds,"""correspond stratigraphically to the top layers of the Bugin-Tsab section""",,sandstone,red,Y,terrestrial indet.,,mesofossils,body,,,taxonomic,"surface (float),surface (in situ),field collection",,"SMGE, SMPE","1967-1968, 1981–1983",vertebrate,terrestrial,actively mobile,"ground dwelling, solitary",carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",hydroxyapatite,compact or dense,,,,rei:35786,F,"angusticanaliculate eggs, PIN 2970/2-1",911,meters,many,frequent,PIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:387341,col:37005,Opisthocoelicaudia skarzynskii,Borsuk-Bialynicka 1977,3.0,txn:57335,Maastrichtian,72.2,66,Borsuk-Bialynicka,1977,ref:9904,Chordata,Saurischia,NO_ORDER_SPECIFIED,Saltasauridae,Opisthocoelicaudia,1,individuals,100.455276,43.602501,"Altan Ula IV, site 4 [PMPE]","Polish-Mongolian Palaeontological Expedition, AU4004, Altan Uul",MN,Omnogov,__,small collection,"Altan Ula IV, 40 km W of Nemegt",gplates,628,mid,93.77,36.49,Nemegt,bed,"""upper Nemegt beds"" = Nemegt Fm.",,conglomerate,,Y,terrestrial indet.,,macrofossils,body,good,"sauropod: ""probably the dead animal had been subjected to the action of carrion feeders, as shown by traces of gnawing visible on its bones, especially on the pelvis and the right femur. The skeleton displayed a passive position, characterized by a ventral attitude and splayed limbs...The transportation of the body by floating must have been stil very short.""",taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,Gradzinski & PMPE,1965,vertebrate,terrestrial,actively mobile,"ground dwelling, gregarious",herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",hydroxyapatite,compact or dense,Opisthocoelicaudia skarzynskii n. gen. n. sp.,,,rei:10492,,,,,many,occasional,,sandstone,many,tooth marks,autochthonous,snapshot,dispersed,life position,frequent,none,thick,,,,,,,,,,,,,,,,,,,,,,,,
occ:387345,col:37006,Tarbosaurus bataar,(Maleev 1955),3.0,txn:63705,Maastrichtian,72.2,66,Hurum and Sabath,2003,ref:15110,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tarbosaurus,1,individuals,100.483612,43.572498,"Altan Ula III, site 1 [PMPE]","Polish-Mongolian Palaeontological Expedition, AU3001",MN,Omnogov,__,small collection,"Altan Ula III, 40 km W of Nemegt, Omnogov (southern Mongolia)",gplates,628,mid,93.8,36.47,Nemegt,bed,"upper Nemegt beds = Nemegt Fm., low in formation",,sandstone,,Y,terrestrial indet.,,macrofossils,"body,soft parts",good,soft-tissue preservation associated with ankylosaur specimen ZPAL MgD I/113.,taxonomic,"selective quarrying,mechanical,field collection",,Skarzynski & PMPE,"1965, 1971",vertebrate,terrestrial,actively mobile,"ground dwelling, solitary",carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",hydroxyapatite,compact or dense,,,,rei:13844,,,,,some,occasional,,sandstone,,,autochthonous,snapshot,dispersed,,,,,conglomeratic,,,,,,,,,,,,,,,,,,,,,,,
occ:387347,col:37007,Tarbosaurus,Maleev 1955,5.0,txn:53224,Maastrichtian,72.2,66,Kielan-Jaworowska and Kowalski,1965,ref:9901,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tarbosaurus,1,individuals,100.374809,43.441280,"Tsagan Hushu, site 5 [PMPE]","Polish-Mongolian Palaeontological Expedition, Tsagan Ula, Tsagan Khushu, TsKh005",MN,Omnogov,__,small collection,"Tsagan Hushu (= Tsagan Ula, Tsagan Khushu, Tsagan-ushu), Omnogov (southern Mongolia)",gplates,628,mid,93.75,36.32,Nemegt,bed,,,sandstone,fine,Y,terrestrial indet.,,macrofossils,body,good,,taxonomic,"selective quarrying,surface (in situ),mechanical,field collection",,Dovchin & PMPE,1964,vertebrate,terrestrial,actively mobile,"ground dwelling, solitary",carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",hydroxyapatite,compact or dense,Tarbosaurus sp.,,,,,"""hind limb""",,,,,,,many,,parautochthonous,snapshot,,life position,,,,,,,,,,,,,,,,,,,,,,,,,,,
occ:387359,col:37010,Protoceratopsidae,(Granger and Gregory 1923),9.0,txn:38845,Maastrichtian,72.2,66,Sabath,1991,ref:41004,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Protoceratopsidae,,,,101.052498,43.502499,"Nemegt, Central Sayr, site 1 [PMPE]","Polish-Mongolian Palaeontological Expeditions, Nem001",MN,Omnogov,__,small collection,"W of Great Pyramid, Nemegt (= Nemegetu) locality, Nemegt Basin, Omnogov (southern Mongolia)",gplates,628,mid,94.32,36.51,Nemegt,group of beds,"lower part of Nemegt Formation (= Upper Nemegt beds here), just above the Passage Series and at top of them as well","""light sandstone with gravel""",sandstone,white,Y,terrestrial indet.,,"macrofossils,mesofossils,microfossils",body,poor,,general faunal/floral,"selective quarrying,mechanical,field collection",,Borsuk-Bilaynicka & PMPE,1964,vertebrate,terrestrial,actively mobile,ground dwelling,herbivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",hydroxyapatite,compact or dense,Protoceratopsidae indet.,,,rei:26820,,"bone fragments, eggs;  ZPAL MgOv-I/3, I/4",1500,meters,,occasional,,mudstone,many,,parautochthonous,snapshot,,life position,,,,conglomeratic,Y,,,,,,,,,,,,,,,,,,,,,,
occ:387360,col:37011,Tarbosaurus bataar,(Maleev 1955),3.0,txn:63705,Maastrichtian,72.2,66,Gradzinski et al.,1968,ref:9900,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Tarbosaurus,1,individuals,100.363052,43.481945,"Tsagan Hushu, site 2 [PMPE]","Polish-Mongolian Palaeontological Expedition, Tsagan Ula, Tsagan Khushu, TsKh002",MN,Omnogov,__,small collection,"Tsagan Ula (= Hushu/Ushu/Khusku), Omnogov",gplates,628,mid,93.73,36.36,Nemegt,bed,near top of section,,conglomerate,,Y,terrestrial indet.,,macrofossils,body,good,,general faunal/floral,"selective quarrying,surface (in situ),mechanical,field collection",,G. Jakubowski & PMPE,1964,vertebrate,terrestrial,actively mobile,"ground dwelling, solitary",carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",hydroxyapatite,compact or dense,,,,rei:10605,,ZPal MgD-I/3,,,some,occasional,,mudstone,some,,parautochthonous,snapshot,dispersed,,,,,silty,Y,,,,,,,,,,,,,,,,,,,,,,
occ:387396,col:37019,Coeluridae,Marsh 1881,9.0,txn:53001,Maastrichtian,72.2,66,Kielan-Jaworowska and Kowalski,1965,ref:9901,Chordata,Reptilia,NO_ORDER_SPECIFIED,Coeluridae,,2,specimens,101.275002,43.491669,Omnogov,,MN,Omnogov,__,outcrop,"Nemegt, Nemegt Basin, Omnogov",gplates,628,mid,94.52,36.55,Nemegt,formation,Upper Nemegt Beds = Nemegt Fm.,,not reported,,,terrestrial indet.,,macrofossils,body,good,,general faunal/floral,"selective quarrying,mechanical,field collection",,PMPE 3,1970,vertebrate,terrestrial,actively mobile,"ground dwelling, solitary",carnivore,"oviparous, dispersal=direct/internal,mobile","accretion,modification of parts",hydroxyapatite,compact or dense,Coeluridae indet.,,,,,DELETE,1500,meters,,frequent,,,,,,,concentrated,life position,,,,,,,,,,,,,,,,,,,,,,,,,,,
