n_pred_taxa,p_dominant,n_lumped,delta_beta_true,delta_beta_obs_mean,bias,prop_sign_negative,prop_false_difference
4,0.0,1,0.0,-0.17057101239137992,-0.17057101239137992,1.0,1.0
4,0.0,3,0.0,-0.5413718198081715,-0.5413718198081715,1.0,1.0
4,0.0,6,0.0,-0.909333527427083,-0.909333527427083,1.0,1.0
4,0.3,1,0.0,-0.21126702777502157,-0.21126702777502157,1.0,1.0
4,0.3,3,0.0,-0.5991150847214135,-0.5991150847214135,1.0,1.0
4,0.3,6,0.0,-0.9095269147336237,-0.9095269147336237,1.0,1.0
4,0.5,1,0.0,-0.3143898281544911,-0.3143898281544911,1.0,1.0
4,0.5,3,0.0,-0.6581527571997994,-0.6581527571997994,1.0,1.0
4,0.5,6,0.0,-0.9092017588250121,-0.9092017588250121,1.0,1.0
4,0.7,1,0.0,-0.42648433508618266,-0.42648433508618266,1.0,1.0
4,0.7,3,0.0,-0.7174236465932053,-0.7174236465932053,1.0,1.0
4,0.7,6,0.0,-0.9090515983295253,-0.9090515983295253,1.0,1.0
4,0.9,1,0.0,-0.530641989009018,-0.530641989009018,1.0,1.0
4,0.9,3,0.0,-0.7591039853195235,-0.7591039853195235,1.0,1.0
4,0.9,6,0.0,-0.9089005658604218,-0.9089005658604218,1.0,1.0
12,0.0,1,0.0,-0.023323904492567275,-0.023323904492567275,1.0,0.0
12,0.0,3,0.0,-0.06956622537859147,-0.06956622537859147,1.0,0.01
12,0.0,6,0.0,-0.2130007558299873,-0.2130007558299873,1.0,1.0
12,0.3,1,0.0,-0.03397854128611605,-0.03397854128611605,1.0,0.0
12,0.3,3,0.0,-0.09622143799053676,-0.09622143799053676,1.0,0.38
12,0.3,6,0.0,-0.24949116765149826,-0.24949116765149826,1.0,1.0
12,0.5,1,0.0,-0.07234032900614333,-0.07234032900614333,1.0,0.01
12,0.5,3,0.0,-0.14432626569390972,-0.14432626569390972,1.0,1.0
12,0.5,6,0.0,-0.2885040874547597,-0.2885040874547597,1.0,1.0
12,0.7,1,0.0,-0.13303269974636123,-0.13303269974636123,1.0,0.99
12,0.7,3,0.0,-0.20516694758439688,-0.20516694758439688,1.0,1.0
12,0.7,6,0.0,-0.3363844123258405,-0.3363844123258405,1.0,1.0
12,0.9,1,0.0,-0.20999477380080173,-0.20999477380080173,1.0,1.0
12,0.9,3,0.0,-0.26779008151737455,-0.26779008151737455,1.0,1.0
12,0.9,6,0.0,-0.381831094258599,-0.381831094258599,1.0,1.0
26,0.0,1,0.0,0.0004876046525547273,0.0004876046525547273,0.47,0.0
26,0.0,3,0.0,-0.01421307953000908,-0.01421307953000908,0.99,0.0
26,0.0,6,0.0,-0.058150509471372104,-0.058150509471372104,1.0,0.0
26,0.3,1,0.0,-0.005648958100782321,-0.005648958100782321,0.9,0.0
26,0.3,3,0.0,-0.02686160722721743,-0.02686160722721743,1.0,0.0
26,0.3,6,0.0,-0.06875978993072156,-0.06875978993072156,1.0,0.0
26,0.5,1,0.0,-0.02361708887501725,-0.02361708887501725,1.0,0.0
26,0.5,3,0.0,-0.048394772752417686,-0.048394772752417686,1.0,0.0
26,0.5,6,0.0,-0.08800119139086839,-0.08800119139086839,1.0,0.03
26,0.7,1,0.0,-0.05359293407106481,-0.05359293407106481,1.0,0.0
26,0.7,3,0.0,-0.07608036398333202,-0.07608036398333202,1.0,0.0
26,0.7,6,0.0,-0.1100448991258074,-0.1100448991258074,1.0,0.91
26,0.9,1,0.0,-0.09435331051430733,-0.09435331051430733,1.0,0.2
26,0.9,3,0.0,-0.10941322367121002,-0.10941322367121002,1.0,0.9
26,0.9,6,0.0,-0.13492560030199602,-0.13492560030199602,1.0,1.0
