collection_no,tarb,n
13108,False,2
13108,True,1
13347,False,2
37003,False,1
37005,False,1
37006,False,1
37006,True,1
37007,True,2
37010,False,1
37010,True,1
37011,True,1
37019,False,3
37020,False,5
37020,True,1
38021,False,1
38022,False,2
38023,True,1
38024,True,1
38695,False,1
38695,True,1
38696,True,1
38697,False,1
38698,False,1
38699,False,1
38700,False,1
38701,False,1
38702,True,1
38703,True,1
38704,False,1
51972,False,1
51972,True,2
52008,False,2
52012,False,1
53227,False,3
54095,False,1
55257,False,18
55257,True,1
55258,False,8
55258,True,1
59087,False,3
65335,False,4
65345,False,1
65347,False,2
69801,False,1
69801,True,1
73437,False,2
73437,True,1
76192,False,1
84444,False,2
88554,False,1
100266,False,5
100266,True,1
100268,False,3
100268,True,1
100270,False,1
100272,False,1
100273,False,3
100274,False,1
100275,False,4
108341,False,1
108344,False,9
113009,False,1
126780,False,2
126783,False,2
126785,False,1
126786,False,2
126787,False,1
126788,False,1
126789,False,1
126790,False,1
126791,False,1
126792,False,1
126797,True,1
127670,False,9
127670,True,1
127671,False,4
127671,True,1
127673,False,2
127674,False,11
127674,True,1
127675,False,4
127679,False,5
127679,True,1
127681,False,10
127681,True,1
127682,False,3
127682,True,1
130799,False,2
130800,False,4
165580,False,5
165580,True,1
168111,False,3
168417,False,7
168809,False,1
168809,True,1
168810,False,3
168810,True,1
168983,False,5
168988,False,5
179625,False,7
179625,True,1
180299,False,1
180471,False,1
180472,False,1
180473,False,1
180474,False,1
180475,False,1
180679,False,1
180680,True,1
180681,True,1
180682,True,1
180683,False,1
180684,True,1
180698,False,1
180699,True,1
180700,True,1
180701,False,1
180702,False,1
180703,False,1
180706,False,1
180707,False,1
180709,False,1
180710,False,1
180710,True,1
180784,False,1
180785,False,1
180786,False,4
180811,False,1
180812,True,1
180813,True,1
199805,False,6
199805,True,1
206054,False,1
206055,False,2
206055,True,1
206057,False,1
220943,False,1
220943,True,1
221153,False,1
224071,False,1
226994,False,2
226994,True,1
229067,False,7
229067,True,1
241750,True,1
241751,False,1
277791,False,2
277792,False,1
277797,False,3
277797,True,1
277798,False,2
277799,False,3
277800,False,4
277800,True,1
