,value
herbivore_simpson_mean_pairwise_beta,0.6354357280049916
herbivore_simpson_mantel_r,-0.004824215859448404
herbivore_simpson_mantel_p,0.8489
herbivore_simpson_n_collections,206.0
predator_simpson_mean_pairwise_beta,0.0920767996687885
predator_simpson_mantel_r,-0.02756671651979299
predator_simpson_mantel_p,0.5615
predator_simpson_n_collections,114.0
delta_beta_simpson_overall,-0.5433589283362031
delta_beta_simpson_boot_lo,-0.6226637419390177
delta_beta_simpson_boot_hi,-0.45169825616195874
delta_beta_simpson_boot_p_gt0,0.0
herbivore_sorensen_mean_pairwise_beta,0.7843337074672846
herbivore_sorensen_mantel_r,0.012489185513700565
herbivore_sorensen_mantel_p,0.6156
herbivore_sorensen_n_collections,206.0
predator_sorensen_mean_pairwise_beta,0.23519293072157532
predator_sorensen_mantel_r,-0.06465541677312296
predator_sorensen_mantel_p,0.1876
predator_sorensen_n_collections,114.0
delta_beta_sorensen_overall,-0.5491407767457093
delta_beta_sorensen_boot_lo,-0.622572242964528
delta_beta_sorensen_boot_hi,-0.46460820972665984
delta_beta_sorensen_boot_p_gt0,0.0
