title,year,doi,url,venue,authors,work_type,query_ids,source_apis
145How to attack a far galaxy and beyond,2026,10.1515/9783111436548-007,https://doi.org/10.1515/9783111436548-007,Cybersecurity,Luis Hernández-Álvarez; Miguel Ángel González de la Torre; Eva Iglesias Hernández; Luis Hernández Encinas,book-chapter,Q02,Crossref
281Security verification of authenticated encryption with associated data under chosen message attack assumption using Tamarin prover,2026,10.1515/9783111436548-013,https://doi.org/10.1515/9783111436548-013,Cybersecurity,Takehiko Mieno; Hiroyuki Okazaki; Kenichi Arai; Yuichi Futa,book-chapter,Q02,Crossref
A Comprehensive and Systematic Review of Performance Evaluation of Public Transit,2026,10.3311/pptr.39720,https://doi.org/10.3311/pptr.39720,Periodica Polytechnica Transportation Engineering,Anupama Mishra; Varun Singh,article,Q01,OpenAlex
"A Comprehensive Survey on VANET–IoT Integration Toward the Internet of Vehicles: Architectures, Communications, and System Challenges",2026,10.3390/futuretransp6010032,https://doi.org/10.3390/futuretransp6010032,Future Transportation,Khalid Kandali; Said Nouh; Lamyae Bennis; Hamid Bennis,article,Q09,OpenAlex
A Cybersecurity Digital Twin Architecture for Modelling Threats in Interconnected Systems,2026,10.60097/acig/221493,https://doi.org/10.60097/acig/221493,Applied Cybersecurity &amp; Internet Governance,Matteo Repetto; Daniele Canavese,journal-article,Q06,Crossref
A Digital Twin-Assisted Threat Modeling Framework for Predicting APT Attack Flows in Industrial Control Systems,2026,10.3390/jcp6030081,https://doi.org/10.3390/jcp6030081,Journal of Cybersecurity and Privacy,Gizem Erceylan; Doney Abraham; Aida Akbarzadeh; Vasileios Gkioulos; Sandeep Pirbhulal,journal-article,Q02,Crossref
A longitudinal study of the frequency and characteristics of shared and private E-scooter trips,2026,10.1016/j.jcmr.2026.100119,https://doi.org/10.1016/j.jcmr.2026.100119,Journal of Cycling and Micromobility Research,Fariborz Mansourifar; Narelle Haworth; Zohre Ahmadabadi; Christopher R. Cherry,journal-article,Q01,Crossref
A Novel Approach to Sybil Attack Detection in VANETs Using Verifiable Delay Functions and Hierarchical Fog-Cloud Architecture,2026,10.3390/jcp6020059,https://doi.org/10.3390/jcp6020059,Journal of Cybersecurity and Privacy,Habiba Hadri; Mourad Ouadou; Khalid Minaoui,journal-article,Q02,Crossref
A representativeness-privacy-utility evaluation framework for synthetic trip data generation,2026,10.1016/j.ait.2026.100075,https://doi.org/10.1016/j.ait.2026.100075,Artificial Intelligence for Transportation,Yuanyuan Wu; Zhenlin Qin; Zhenliang Ma,journal-article,Q08,Crossref
A taxonomy and survey of integrating emerging technologies to intelligent transportation systems,2026,10.1007/s44443-026-00806-3,,SZTE Publicatio Repozitórium (University of Szeged),Delavari Zahra; Pflanzner Tamas; Kertész Attila,article,Q06,OpenAlex
A theoretical framework for vertical and horizontal security culture analysis: A review of Serbian literature,2026,10.48146/odusobiad.1811360,https://doi.org/10.48146/odusobiad.1811360,ODÜ Sosyal Bilimler Araştırmaları Dergisi (ODÜSOBİAD),Uroš Aćimović,article,Q02,OpenAlex
Ad Personalization and Transparency in Mobile Ecosystems: A Comparative Analysis of Google's and Apple's EU App Stores,2026,10.56553/popets-2026-0031,https://doi.org/10.56553/popets-2026-0031,Proceedings on Privacy Enhancing Technologies,David Breuer; Lucas Becker; Matthias Hollick,journal-article,Q04,Crossref
An Empirical Assessment of Digital Forensic Process Reliability Using Integrated ISO/IEC 27037 and 27041 Standards,2026,10.3390/jcp6020057,https://doi.org/10.3390/jcp6020057,Journal of Cybersecurity and Privacy,Zlatan Morić; Vedran Dakić; Ivana Ogrizek Biškupić,journal-article,Q02,Crossref
ANALYSIS OF OPEN LI-ION BATTERY TESTING DATASETS FOR DEGRADATION MODELING AND LIFECYCLE MANAGEMENT,2026,10.15407/srenergy2026.01.065,https://doi.org/10.15407/srenergy2026.01.065,System Research in Energy,Ganna Kostenko; Andrii Bosak; Yurii Sapsai; Artur Zaporozhets,journal-article,Q11,Crossref
Another Mirage of Breaking MIRAGE: Debunking Occupancy-Based Side-Channel Attacks on Fully Associative Randomized Caches,2026,10.1109/lca.2025.3638260,https://doi.org/10.1109/lca.2025.3638260,IEEE Computer Architecture Letters,Chris Cao; Gururaj Saileshwar,journal-article,Q15,Crossref
"Artificial intelligence-driven embedded sensing, digital twin, and modular electrified vehicle systems for intelligent sustainable mobility",2026,10.1007/s44465-026-00025-0,https://doi.org/10.1007/s44465-026-00025-0,Discover Vehicles,Hafsa Waheed; Ghulam E Mustafa Abro,article,Q03,OpenAlex
Assessing Privacy Leakage in Android App Logs: An Empirical Study of Recorded and Real-World Cases,2026,10.2139/ssrn.6463688,https://doi.org/10.2139/ssrn.6463688,,Zhiyuan Chen; Vanessa Nava-Camal; Tiash Roy; Yiming Tang; Xueling Zhang; Andy Meneely; WeiYi Shang,posted-content,Q13,Crossref
"Attack Graph, Attack HyperGraph, and Attack SuperHyperGraph in Security",2026,10.61356/j.aics.2026.3638,https://doi.org/10.61356/j.aics.2026.3638,Artificial Intelligence in Cybersecurity,Takaaki Fujita,journal-article,Q02,Crossref
