indicator,iso3,year,value
GB.XPD.RSDV.GD.ZS,AUS,1996,1.66218
GB.XPD.RSDV.GD.ZS,AUS,1998,1.51351
GB.XPD.RSDV.GD.ZS,AUS,2000,1.57198
GB.XPD.RSDV.GD.ZS,AUS,2002,1.74654
GB.XPD.RSDV.GD.ZS,AUS,2004,1.84802
GB.XPD.RSDV.GD.ZS,AUS,2006,2.17862
GB.XPD.RSDV.GD.ZS,AUS,2008,2.39898
GB.XPD.RSDV.GD.ZS,AUS,2010,2.3702
GB.XPD.RSDV.GD.ZS,AUS,2011,2.23459
GB.XPD.RSDV.GD.ZS,AUS,2013,2.17733
GB.XPD.RSDV.GD.ZS,AUS,2015,1.91969
GB.XPD.RSDV.GD.ZS,AUS,2017,1.88102
GB.XPD.RSDV.GD.ZS,AUS,2019,1.82826
GB.XPD.RSDV.GD.ZS,AUS,2021,1.85783
GB.XPD.RSDV.GD.ZS,AUT,1996,1.58947
GB.XPD.RSDV.GD.ZS,AUT,1997,1.66324
GB.XPD.RSDV.GD.ZS,AUT,1998,1.74106
GB.XPD.RSDV.GD.ZS,AUT,1999,1.85251
GB.XPD.RSDV.GD.ZS,AUT,2000,1.89667
GB.XPD.RSDV.GD.ZS,AUT,2001,2.00257
GB.XPD.RSDV.GD.ZS,AUT,2002,2.0811
GB.XPD.RSDV.GD.ZS,AUT,2003,2.18701
GB.XPD.RSDV.GD.ZS,AUT,2004,2.18238
GB.XPD.RSDV.GD.ZS,AUT,2005,2.38942
GB.XPD.RSDV.GD.ZS,AUT,2006,2.376
GB.XPD.RSDV.GD.ZS,AUT,2007,2.4336
GB.XPD.RSDV.GD.ZS,AUT,2008,2.58632
GB.XPD.RSDV.GD.ZS,AUT,2009,2.61279
GB.XPD.RSDV.GD.ZS,AUT,2010,2.74321
GB.XPD.RSDV.GD.ZS,AUT,2011,2.68567
GB.XPD.RSDV.GD.ZS,AUT,2012,2.93372
GB.XPD.RSDV.GD.ZS,AUT,2013,2.97993
GB.XPD.RSDV.GD.ZS,AUT,2014,3.11263
GB.XPD.RSDV.GD.ZS,AUT,2015,3.06917
GB.XPD.RSDV.GD.ZS,AUT,2016,3.13356
GB.XPD.RSDV.GD.ZS,AUT,2017,3.07376
GB.XPD.RSDV.GD.ZS,AUT,2018,3.10828
GB.XPD.RSDV.GD.ZS,AUT,2019,3.14405
GB.XPD.RSDV.GD.ZS,AUT,2020,3.20758
GB.XPD.RSDV.GD.ZS,AUT,2021,3.25565
GB.XPD.RSDV.GD.ZS,AUT,2022,3.17775
GB.XPD.RSDV.GD.ZS,AUT,2023,3.25517
GB.XPD.RSDV.GD.ZS,BEL,1996,1.74299
GB.XPD.RSDV.GD.ZS,BEL,1997,1.80971
GB.XPD.RSDV.GD.ZS,BEL,1998,1.83825
GB.XPD.RSDV.GD.ZS,BEL,1999,1.90564
GB.XPD.RSDV.GD.ZS,BEL,2000,1.9362
GB.XPD.RSDV.GD.ZS,BEL,2001,2.03279
GB.XPD.RSDV.GD.ZS,BEL,2002,1.90325
GB.XPD.RSDV.GD.ZS,BEL,2003,1.8412
GB.XPD.RSDV.GD.ZS,BEL,2004,1.8205
GB.XPD.RSDV.GD.ZS,BEL,2005,1.7906
GB.XPD.RSDV.GD.ZS,BEL,2006,1.82269
GB.XPD.RSDV.GD.ZS,BEL,2007,1.84999
GB.XPD.RSDV.GD.ZS,BEL,2008,1.93684
GB.XPD.RSDV.GD.ZS,BEL,2009,1.99134
GB.XPD.RSDV.GD.ZS,BEL,2010,2.0613
GB.XPD.RSDV.GD.ZS,BEL,2011,2.15739
