Country,ISO3,K gap (%),K gap 95% CI,TFP shift (pp),TFP shift 95% CI,Labour-share shift (pp),Labour-share shift 95% CI
Ireland,IRL,-9.17,"[-14.05, -6.09]",-4.64,"[-7.26, -3.01]",4.64,"[3.01, 7.26]"
Costa Rica,CRI,-7.25,"[-8.83, -5.43]",-3.19,"[-3.92, -2.36]",3.19,"[2.36, 3.92]"
Republic of Korea,KOR,-7.07,"[-8.21, -6.22]",-3.1,"[-3.61, -2.71]",3.1,"[2.71, 3.61]"
Slovakia,SVK,-6.72,"[-7.24, -6.08]",-3.19,"[-3.44, -2.87]",3.19,"[2.87, 3.44]"
Israel,ISR,-6.39,"[-7.03, -5.46]",-2.8,"[-3.09, -2.38]",2.8,"[2.38, 3.09]"
Lithuania,LTU,-6.34,"[-7.20, -5.89]",-3.21,"[-3.66, -2.97]",3.21,"[2.97, 3.66]"
Estonia,EST,-6.19,"[-7.79, -5.22]",-2.58,"[-3.28, -2.17]",2.58,"[2.17, 3.28]"
Luxembourg,LUX,-5.87,"[-6.95, -4.16]",-2.72,"[-3.24, -1.91]",2.72,"[1.91, 3.24]"
Czech Republic,CZE,-5.42,"[-6.38, -4.95]",-2.66,"[-3.15, -2.42]",2.66,"[2.42, 3.15]"
Poland,POL,-5.16,"[-5.57, -4.74]",-2.08,"[-2.25, -1.91]",2.08,"[1.91, 2.25]"
Colombia,COL,-5.05,"[-5.63, -3.96]",-2.71,"[-3.02, -2.11]",2.71,"[2.11, 3.02]"
Belgium,BEL,-4.99,"[-5.29, -4.81]",-1.89,"[-2.01, -1.82]",1.89,"[1.82, 2.01]"
Canada,CAN,-4.85,"[-5.35, -4.05]",-1.45,"[-1.61, -1.21]",1.45,"[1.21, 1.61]"
Mexico,MEX,-4.84,"[-5.07, -4.45]",-2.93,"[-3.07, -2.68]",2.93,"[2.68, 3.07]"
Australia,AUS,-4.84,"[-5.45, -3.92]",-1.79,"[-2.03, -1.45]",1.79,"[1.45, 2.03]"
Slovenia,SVN,-4.38,"[-6.97, -3.10]",-1.5,"[-2.42, -1.06]",1.5,"[1.06, 2.42]"
France,FRA,-4.33,"[-4.78, -3.97]",-1.56,"[-1.73, -1.43]",1.56,"[1.43, 1.73]"
Netherlands,NLD,-4.29,"[-4.58, -3.80]",-1.43,"[-1.53, -1.26]",1.43,"[1.26, 1.53]"
Sweden,SWE,-4.2,"[-5.07, -3.50]",-1.81,"[-2.19, -1.50]",1.81,"[1.50, 2.19]"
Hungary,HUN,-4.2,"[-5.26, -3.42]",-1.62,"[-2.04, -1.32]",1.62,"[1.32, 2.04]"
United Kingdom,GBR,-4.15,"[-4.69, -3.56]",-1.84,"[-2.09, -1.58]",1.84,"[1.58, 2.09]"
New Zealand,NZL,-4.07,"[-4.79, -3.30]",-1.7,"[-2.01, -1.37]",1.7,"[1.37, 2.01]"
Latvia,LVA,-3.97,"[-5.20, -3.38]",-1.93,"[-2.55, -1.64]",1.93,"[1.64, 2.55]"
Spain,ESP,-3.91,"[-6.88, -2.53]",-1.53,"[-2.72, -0.98]",1.53,"[0.98, 2.72]"
Austria,AUT,-3.86,"[-4.14, -3.51]",-1.51,"[-1.62, -1.37]",1.51,"[1.37, 1.62]"
Norway,NOR,-3.83,"[-4.78, -3.04]",-1.74,"[-2.17, -1.37]",1.74,"[1.37, 2.17]"
United States,USA,-3.7,"[-4.22, -3.49]",-1.44,"[-1.64, -1.35]",1.44,"[1.35, 1.64]"
Denmark,DNK,-3.56,"[-4.36, -3.09]",-1.31,"[-1.61, -1.13]",1.31,"[1.13, 1.61]"
Finland,FIN,-3.36,"[-4.07, -2.63]",-1.21,"[-1.47, -0.94]",1.21,"[0.94, 1.47]"
Iceland,ISL,-2.91,"[-5.35, -1.21]",-1.11,"[-2.05, -0.46]",1.11,"[0.46, 2.05]"
Portugal,PRT,-2.56,"[-4.69, -1.34]",-0.95,"[-1.75, -0.49]",0.95,"[0.49, 1.75]"
Italy,ITA,-2.06,"[-3.34, -1.34]",-0.91,"[-1.49, -0.59]",0.91,"[0.59, 1.49]"
Germany,DEU,-1.88,"[-2.28, -1.48]",-0.66,"[-0.80, -0.52]",0.66,"[0.52, 0.80]"
Japan,JPN,-1.21,"[-1.55, -1.07]",-0.49,"[-0.63, -0.43]",0.49,"[0.43, 0.63]"
Greece,GRC,-0.58,"[-3.98, 0.94]",-0.3,"[-2.02, 0.47]",0.3,"[-0.47, 2.02]"
Median,,-4.29,,-1.74,,1.74,
