country,iso3,M0_baseline_2040_index,M0_baseline_2030_index,M2_trend_2040_index,M2_trend_2030_index,M2_stabilize_2040_index,M2_stabilize_2030_index,M4_baseline_2040_index,M4_baseline_2030_index,M4_TFP_level_only_2040_index,M4_TFP_level_only_2030_index,M4_AI_surge_2040_index,M4_AI_surge_2030_index,M4_fiscal_stimulus_2040_index,M4_fiscal_stimulus_2030_index
Australia,AUS,152.3,124.3,152.7,125.3,152.5,125.1,125.6,114.1,118.7,111.1,134.1,116.6,128.0,115.2
Austria,AUT,141.5,116.9,141.3,116.8,141.5,116.6,141.4,116.8,140.8,116.6,141.4,116.8,143.5,117.9
Belgium,BEL,138.3,116.7,138.0,116.6,138.3,116.4,150.3,121.7,177.3,131.7,157.8,123.8,152.2,122.4
Canada,CAN,143.9,119.2,144.2,119.7,144.1,119.4,144.8,119.7,130.4,113.9,146.8,120.2,147.2,120.8
Chile,CHL,165.8,127.9,162.2,127.4,162.3,127.0,160.6,126.8,173.6,131.6,160.6,126.8,164.8,128.4
China,CHN,184.1,137.7,175.6,134.9,175.8,135.3,136.9,118.2,262.1,161.1,148.8,121.8,138.5,119.4
Colombia,COL,176.1,131.7,175.2,131.5,175.2,131.5,173.4,130.4,146.0,120.2,176.9,131.3,182.0,133.7
Costa Rica,CRI,159.0,126.2,159.0,126.2,159.0,126.2,155.4,124.7,127.6,113.6,156.1,124.9,162.5,128.1
Czech Republic,CZE,189.6,132.7,181.5,129.7,181.8,129.5,188.6,132.3,135.0,112.8,188.6,132.3,193.1,134.2
Denmark,DNK,171.9,126.5,166.9,124.1,167.3,123.9,171.5,126.2,141.8,115.2,171.5,126.2,174.0,127.3
Estonia,EST,259.7,150.1,226.6,139.6,227.6,139.5,259.7,150.1,194.9,130.9,259.7,150.1,263.9,151.9
Finland,FIN,120.3,109.5,118.4,108.7,118.3,108.4,120.3,109.5,123.7,110.9,120.3,109.5,122.3,110.5
France,FRA,133.1,114.4,133.1,114.4,133.1,114.4,128.6,112.1,129.0,112.3,139.0,115.0,130.6,113.2
Germany,DEU,149.8,121.1,149.8,121.1,149.8,121.1,150.9,121.4,130.7,113.3,153.8,122.1,153.4,122.2
Greece,GRC,66.9,82.5,66.9,82.5,67.0,82.6,85.6,92.8,123.2,110.3,92.5,95.3,88.0,93.9
Hungary,HUN,228.2,141.8,228.2,141.8,228.2,141.8,250.2,148.7,242.0,146.4,267.7,152.2,253.9,150.5
Iceland,ISL,301.1,158.7,300.9,158.7,301.0,158.8,327.5,166.8,193.8,129.9,338.3,168.6,332.1,168.6
Ireland,IRL,1263.7,318.9,1134.0,279.1,1143.9,280.0,1264.3,318.9,651.1,232.5,1264.3,318.9,1273.1,321.8
Israel,ISR,222.9,143.6,224.8,144.0,225.5,143.8,224.5,144.0,215.4,141.2,224.5,144.0,228.9,145.5
Italy,ITA,99.6,100.1,99.6,100.1,99.6,100.1,102.4,101.5,121.0,109.9,110.7,104.2,104.5,102.7
Japan,JPN,129.6,112.2,129.6,112.2,129.6,112.2,129.6,112.2,114.2,105.6,129.6,112.2,132.2,113.5
Latvia,LVA,248.7,146.6,222.5,139.0,223.2,138.7,248.6,146.6,142.2,112.4,248.6,146.6,253.4,148.3
Lithuania,LTU,217.0,140.2,204.8,136.8,205.3,136.6,217.0,140.2,151.2,118.1,217.0,140.2,224.7,143.3
Luxembourg,LUX,164.4,127.9,161.3,127.7,161.3,127.7,163.0,128.5,149.8,123.5,169.0,130.1,166.7,129.9
Mexico,MEX,147.5,122.1,150.2,123.9,150.0,123.3,135.8,118.3,136.7,118.7,138.0,118.9,141.0,120.4
Netherlands,NLD,140.5,117.2,140.9,117.3,141.0,117.1,145.2,117.4,161.4,123.5,157.4,120.6,147.4,118.2
New Zealand,NZL,210.6,139.4,206.1,138.1,206.3,137.9,238.6,149.6,195.5,136.1,253.9,152.8,244.4,151.7
Norway,NOR,152.0,122.0,156.7,123.7,157.1,123.5,165.8,127.4,198.6,138.8,179.8,130.9,169.0,129.0
Poland,POL,206.7,139.0,206.7,139.0,206.7,139.0,206.7,139.0,150.2,119.4,206.7,139.0,213.6,142.1
Portugal,PRT,111.6,105.5,111.6,105.5,111.6,105.5,110.2,105.1,102.4,101.5,111.2,105.4,112.2,106.2
Republic of Korea,KOR,162.8,126.8,159.0,126.0,159.1,125.7,157.5,125.5,146.2,121.1,157.5,125.5,160.4,126.6
Slovakia,SVK,212.8,140.9,206.5,138.2,207.0,138.2,212.8,140.9,180.3,130.2,212.8,140.9,217.1,143.0
Slovenia,SVN,159.5,122.7,159.2,122.6,159.3,122.8,159.2,122.5,125.5,109.4,159.2,122.5,161.8,123.7
Spain,ESP,126.5,112.7,126.5,112.7,126.5,112.7,125.1,112.3,111.6,106.4,127.3,113.0,127.6,113.6
Sweden,SWE,166.7,126.0,170.1,127.1,170.2,126.8,168.2,126.6,145.8,118.3,168.2,126.6,171.4,128.0
Switzerland,CHE,155.7,122.1,156.4,122.2,156.5,122.1,156.7,122.4,137.3,115.0,160.4,123.4,159.0,123.6
Turkey,TUR,239.4,152.0,276.4,168.6,277.6,168.4,243.3,153.5,250.5,155.6,248.3,154.6,251.3,157.1
United Kingdom,GBR,149.7,121.0,151.6,121.8,151.6,121.4,151.3,121.7,151.0,121.6,151.3,121.7,154.5,123.2
United States,USA,167.1,125.7,162.4,123.9,162.5,123.5,163.6,124.4,143.1,116.7,163.6,124.4,167.1,125.7
