specialty,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
内科,228,229,237,181,164,177,188,178,170,179,194,192,174,238,195,189,184
外科,180,165,142,123,145,124,114,121,114,112,122,129,78,98,142,106,76
整形外科,108,105,105,93,99,90,95,95,87,100,85,108,73,87,88,82,65
形成外科,18,19,24,24,24,29,28,28,25,30,24,35,32,27,27,34,42
産婦人科,99,84,89,82,59,56,60,50,52,54,47,44,38,51,41,35,31
小児科,22,22,22,19,22,10,9,13,8,10,7,8,7,16,13,14,8
精神科,30,33,29,30,33,33,31,25,33,28,37,35,30,26,27,27,31
眼科,27,23,24,22,34,20,17,18,15,22,19,26,19,17,12,22,14
耳鼻咽喉科,19,19,16,9,19,6,8,10,14,8,10,10,9,10,5,15,13
泌尿器科,18,22,9,15,18,24,13,17,11,8,16,19,23,16,10,7,17
皮膚科,9,10,17,7,6,12,8,6,14,12,17,13,11,8,10,10,14
麻酔科,8,4,6,8,9,2,6,4,6,9,4,8,5,9,9,4,4
