specialty,specialty_en,outcome,year,forecast_mean,forecast_lower,forecast_upper
内科,Internal medicine,physicians,2024,64475.453561624265,64219.972575890744,64730.934547357785
内科,Internal medicine,physicians,2025,64572.72433369529,64138.42395823514,65007.02470915544
内科,Internal medicine,physicians,2026,65025.01324513562,64527.98442775929,65522.042062511944
内科,Internal medicine,physicians,2027,64647.691873719596,64041.08417700307,65254.299570436124
内科,Internal medicine,physicians,2028,64552.49413761832,63864.45682987088,65240.53144536576
内科,Internal medicine,physicians,2029,64529.7316926451,63745.3453910522,65314.117994238004
内科,Internal medicine,physicians,2030,64016.515189722966,63114.98735901655,64918.04302042938
内科,Internal medicine,physicians,2031,64153.388698506926,63206.72550667332,65100.05189034053
内科,Internal medicine,physicians,2032,63772.59984981643,62765.65356943438,64779.54613019849
内科,Internal medicine,physicians,2033,63045.02883723179,61942.57899269111,64147.47868177247
内科,Internal medicine,facilities,2024,66521.38596463445,66360.24348090612,66682.52844836278
内科,Internal medicine,facilities,2025,66311.23757796615,66083.01909431735,66539.45606161495
内科,Internal medicine,facilities,2026,66112.99429374884,65838.94143968621,66387.04714781146
内科,Internal medicine,facilities,2027,65926.18376014648,65617.0632381767,66235.30428211625
内科,Internal medicine,facilities,2028,65750.13879664436,65412.9198853543,66087.35770793442
内科,Internal medicine,facilities,2029,65584.23930722295,65223.899508964794,65944.5791054811
内科,Internal medicine,facilities,2030,65427.900596175794,65048.20653620663,65807.59465614497
内科,Internal medicine,facilities,2031,65280.571676837135,64884.481899427396,65676.66145424687
内科,Internal medicine,facilities,2032,65141.73331536594,64731.63230753703,65551.83432319485
内科,Internal medicine,facilities,2033,65010.89620135987,64588.742043614024,65433.05035910572
外科,General surgery,physicians,2024,14794.322085518173,14760.712343236839,14827.931827799508
外科,General surgery,physicians,2025,14770.964621567666,14727.455677338392,14814.47356579694
外科,General surgery,physicians,2026,14790.412934996413,14732.398960162842,14848.426909829985
外科,General surgery,physicians,2027,14687.61228430104,14600.082518752028,14775.142049850052
外科,General surgery,physicians,2028,14495.231056034205,14326.938361742701,14663.523750325709
外科,General surgery,physicians,2029,14556.222392270283,14344.859805863627,14767.58497867694
外科,General surgery,physicians,2030,14721.992344961729,14506.243948545802,14937.740741377656
外科,General surgery,physicians,2031,14572.82258523563,14333.35403647277,14812.29113399849
外科,General surgery,physicians,2032,14262.238597012703,13933.395639543092,14591.081554482314
外科,General surgery,physicians,2033,14491.904718535414,14132.487072629121,14851.322364441707
外科,General surgery,facilities,2024,14200.001093198796,14123.065412964115,14276.936773433477
外科,General surgery,facilities,2025,14137.425542655777,14026.547592414789,14248.303492896766
外科,General surgery,facilities,2026,14077.981923720856,13895.228114196161,14260.73573324555
外科,General surgery,facilities,2027,14052.162231043414,13779.842716527153,14324.481745559675
外科,General surgery,facilities,2028,14046.032757578534,13684.603644443694,14407.461870713374
外科,General surgery,facilities,2029,14053.037649503256,13602.53346103333,14503.541837973182
外科,General surgery,facilities,2030,14073.262616823788,13536.996722332824,14609.528511314751
外科,General surgery,facilities,2031,14104.26060459638,13488.323688723603,14720.197520469157
外科,General surgery,facilities,2032,14143.241270932838,13454.702126185404,14831.780415680272
外科,General surgery,facilities,2033,14188.25736959471,13434.670931415547,14941.843807773874
整形外科,Orthopaedic surgery,physicians,2024,22535.771887089933,22462.952989012814,22608.590785167053
整形外科,Orthopaedic surgery,physicians,2025,22662.702708679175,22550.002098871726,22775.403318486624
整形外科,Orthopaedic surgery,physicians,2026,22825.07761337221,22700.887770155776,22949.267456588645
整形外科,Orthopaedic surgery,physicians,2027,22962.815002028918,22828.190973561308,23097.439030496527
整形外科,Orthopaedic surgery,physicians,2028,23069.004617077127,22918.413241471673,23219.59599268258
整形外科,Orthopaedic surgery,physicians,2029,23161.504544533567,22991.178062671996,23331.83102639514
整形外科,Orthopaedic surgery,physicians,2030,23240.904018799898,23052.348814572124,23429.459223027672
整形外科,Orthopaedic surgery,physicians,2031,23312.740031988815,23109.850384749723,23515.629679227906
整形外科,Orthopaedic surgery,physicians,2032,23365.303573706762,23147.659901937233,23582.94724547629
整形外科,Orthopaedic surgery,physicians,2033,23392.709123879395,23158.668748238793,23626.749499519996
整形外科,Orthopaedic surgery,facilities,2024,15355.462173831347,15345.355094799244,15365.56925286345
整形外科,Orthopaedic surgery,facilities,2025,15414.441925156494,15391.81816609118,15437.065684221809
整形外科,Orthopaedic surgery,facilities,2026,15416.66199033321,15392.728502450025,15440.595478216395
整形外科,Orthopaedic surgery,facilities,2027,15572.712025472683,15517.848421412496,15627.57562953287
整形外科,Orthopaedic surgery,facilities,2028,15693.256074663957,15624.700305460363,15761.811843867552
整形外科,Orthopaedic surgery,facilities,2029,15772.532511308578,15687.51767951172,15857.547343105436
整形外科,Orthopaedic surgery,facilities,2030,16073.773577226575,15928.100721233386,16219.446433219764
整形外科,Orthopaedic surgery,facilities,2031,16280.236816769793,16102.617665397016,16457.855968142572
整形外科,Orthopaedic surgery,facilities,2032,16477.550976350518,16254.262990688067,16700.838962012967
整形外科,Orthopaedic surgery,facilities,2033,16991.904411502306,16671.42143529612,17312.38738770849
形成外科,Plastic surgery,physicians,2024,4209.151185883879,4203.222514311868,4215.079857455891
形成外科,Plastic surgery,physicians,2025,4320.142967163212,4299.843349615489,4340.442584710935
形成外科,Plastic surgery,physicians,2026,4425.549748280399,4392.412799549851,4458.686697010948
形成外科,Plastic surgery,physicians,2027,4525.407622288062,4490.2737205635385,4560.541524012586
形成外科,Plastic surgery,physicians,2028,4631.066411378924,4594.785121153701,4667.347701604148
形成外科,Plastic surgery,physicians,2029,4737.688859579244,4700.269725636888,4775.1079935216
形成外科,Plastic surgery,physicians,2030,4842.7933455881075,4804.394964821753,4881.191726354462
形成外科,Plastic surgery,physicians,2031,4950.580928271688,4910.844795462749,4990.317061080627
形成外科,Plastic surgery,physicians,2032,5056.793750444872,5014.735573816636,5098.851927073108
形成外科,Plastic surgery,physicians,2033,5160.478237334541,5116.667710312361,5204.28876435672
形成外科,Plastic surgery,facilities,2024,3371.5776047216896,3370.505420977835,3372.649788465544
形成外科,Plastic surgery,facilities,2025,3477.354241192317,3475.9120668986284,3478.796415486006
形成外科,Plastic surgery,facilities,2026,3585.2006331543007,3583.0185489976425,3587.382717310959
形成外科,Plastic surgery,facilities,2027,3697.409324521884,3694.7336848065434,3700.084964237225
形成外科,Plastic surgery,facilities,2028,3811.6981954060766,3808.088263540046,3815.3081272721074
形成外科,Plastic surgery,facilities,2029,3930.1776536821912,3925.8286041972906,3934.526703167092
形成外科,Plastic surgery,facilities,2030,4051.519395757772,4046.4312124354424,4056.607579080102
形成外科,Plastic surgery,facilities,2031,4176.902123286156,4171.206413118579,4182.597833453733
形成外科,Plastic surgery,facilities,2032,4305.446878205125,4299.131904643088,4311.761851767163
形成外科,Plastic surgery,facilities,2033,4438.3474079544785,4431.552106276668,4445.142709632289
産婦人科,Obstetrics & gynaecology,physicians,2024,12305.586061962276,12220.98203357639,12390.190090348162
産婦人科,Obstetrics & gynaecology,physicians,2025,12369.354431532889,12220.58837441539,12518.120488650387
産婦人科,Obstetrics & gynaecology,physicians,2026,12418.680519038053,12236.499378910668,12600.861659165437
産婦人科,Obstetrics & gynaecology,physicians,2027,12490.603714631272,12300.397719991695,12680.809709270849
産婦人科,Obstetrics & gynaecology,physicians,2028,12584.317801344698,12391.73551273049,12776.900089958905
産婦人科,Obstetrics & gynaecology,physicians,2029,12679.209951184694,12484.32728321102,12874.092619158368
産婦人科,Obstetrics & gynaecology,physicians,2030,12759.465697508276,12557.974631269106,12960.956763747447
産婦人科,Obstetrics & gynaecology,physicians,2031,12820.684940737803,12608.283872984004,13033.086008491602
産婦人科,Obstetrics & gynaecology,physicians,2032,12875.355453159105,12653.74842754211,13096.9624787761
