model,reaction,endpoint,u_star,J0,Jstar,J1
human2,MAR04368,atp_per_glc,0.75,12.0,21.0,20.0
human2,MAR04368,atp_per_carbon,0.75,2.0,3.5,3.333
human2,MAR04373,atp_per_glc,0.9,12.0,30.05,29.0
human2,MAR04373,atp_per_carbon,0.9,2.0,5.008,4.833
human2,MAR04373,total_flux,0.9,-1296.667,-1074.333,-1098.333
human2,MAR04391,total_flux,0.75,-1296.667,-1282.5,-1493.333
human2,MAR04896,total_flux,0.25,-1296.667,-1175.833,-1810.0
human2,MAR06409,total_flux,0.75,-1296.667,-1246.111,-1272.444
human2,MAR06412,total_flux,0.9,-1296.667,-1243.492,-1256.667
human2,MAR06921,total_flux,0.1,-1296.667,-1236.0,-2060.0
human2,MAR08746,total_flux,0.9,-1296.667,-1243.492,-1256.667
human2,MAR20069,total_flux,0.9,-1296.667,-1243.492,-1256.667
recon3d,CYOR_u10mi,total_flux,0.1,-2184.873,-2093.249,-2101.066
recon3d,ENO,atp_per_glc,0.75,12.152,31.546,30.0
recon3d,ENO,atp_per_carbon,0.75,2.025,5.258,5.0
recon3d,ENO,total_flux,0.75,-2184.873,-2034.789,-2113.254
recon3d,O2t,total_flux,0.25,-2184.873,-2012.102,-2463.096
recon3d,PGM,atp_per_glc,0.75,12.152,31.546,30.0
recon3d,PGM,atp_per_carbon,0.75,2.025,5.258,5.0
recon3d,PGM,total_flux,0.75,-2184.873,-2009.785,-2029.78
