model,cond,sel,mod,n_interior
human2,aerobic,moma_linear,bound_scaling,0
human2,aerobic,moma_linear,fva_informed,0
human2,aerobic,pfba,bound_scaling,10
human2,aerobic,pfba,fva_informed,11
human2,glucose_limited,moma_linear,bound_scaling,0
human2,glucose_limited,moma_linear,fva_informed,0
human2,glucose_limited,pfba,bound_scaling,0
human2,glucose_limited,pfba,fva_informed,0
human2,oxygen_limited,moma_linear,bound_scaling,0
human2,oxygen_limited,moma_linear,fva_informed,0
human2,oxygen_limited,pfba,bound_scaling,3
human2,oxygen_limited,pfba,fva_informed,4
recon3d,aerobic,moma_linear,bound_scaling,0
recon3d,aerobic,moma_linear,fva_informed,1
recon3d,aerobic,pfba,bound_scaling,9
recon3d,aerobic,pfba,fva_informed,6
recon3d,glucose_limited,moma_linear,bound_scaling,0
recon3d,glucose_limited,moma_linear,fva_informed,1
recon3d,glucose_limited,pfba,bound_scaling,2
recon3d,glucose_limited,pfba,fva_informed,1
recon3d,oxygen_limited,moma_linear,bound_scaling,0
recon3d,oxygen_limited,moma_linear,fva_informed,2
recon3d,oxygen_limited,pfba,bound_scaling,8
recon3d,oxygen_limited,pfba,fva_informed,4
