,minimum,maximum
MAR02225,-1000.0,1000.0
MAR03956,-1000.0,1000.0
MAR04095,0.0,4.199999999966772
MAR04280,-12.400000000004558,1000.0
MAR04363,-3.299999999999953,4.49411764705465
MAR04365,-4.4941176470587845,3.2999999999495877
MAR04368,-2.800000000000241,3.999999999999812
MAR04373,-4.000000000000002,0.6499999999749047
MAR04388,-1000.0,1000.0
MAR04391,-2.6500000000259556,5.433333333294019
MAR04888,-1000.0,1000.0
MAR04896,-18.29999999999571,-10.061538461547846
MAR04898,-1000.0,12.629999999998859
MAR05043,40.10000000001724,77.89999999986807
MAR05292,-1000.0,1000.0
MAR05407,-1000.0,990.0999999999965
MAR05411,-1000.0,12.399999999970987
MAR06328,-1000.0,1000.0
MAR06409,-8.000000000001144,-1.1867966282681158e-13
MAR06412,0.0,6.216666666657657
MAR06914,10.673684210526561,11.999999999994024
MAR06916,48.70000000000089,63.29999999991917
MAR06918,20.85000000000143,23.99999999998303
MAR06921,13.700000000070538,23.999999999983608
MAR07638,0.0,1000.0
MAR08746,0.0,6.216666666660873
MAR20069,0.0,6.216666666659641
