,minimum,maximum
MAR02225,-1000.0,1000.0
MAR03956,-999.9999999999999,1000.0
MAR04095,0.0,22.000000000005034
MAR04280,-24.000000000000007,1000.0
MAR04363,17.00000000000001,20.222222222222417
MAR04365,-20.222222222222225,-16.999999999998952
MAR04368,16.999999999999996,19.999999999999936
MAR04373,-20.0,-17.000000000004498
MAR04388,-1000.0,1000.0
MAR04391,6.999999999999793,13.000000000004897
MAR04888,-1000.0,1000.0
MAR04896,-1.9999999999999996,-1.1428571428569967
MAR04898,-1000.0,2.2999999999999545
MAR05043,0.9999999999986604,19.000000000002544
MAR05292,-1000.0,1000.0
MAR05407,-1000.0,1000.0
MAR05411,-1000.0,24.00000000000466
MAR06328,-1000.0,1000.0
MAR06409,-25.00000000000069,-4.5150782634627473e-13
MAR06412,5.294523738752913e-14,21.500000000002725
MAR06914,1.3999999999997088,1.9999999999999603
MAR06916,2.999999999999414,12.999999999991836
MAR06918,2.499999999999855,3.9999999999999205
MAR06921,0.0,3.9999999999992157
MAR07638,0.0,1000.0
MAR08746,0.0,21.499999999999535
MAR20069,0.0,21.499999999998806
