clade,fine_scheme,coarse_scheme,fine_bin,coarse_bin,metric,fine_value,coarse_value,bias_time
Brachiopoda,stage,stage2,Tournaisian,Famennian+Tournaisian,beta_jaccard,0.9295329781397887,0.9488663277573923,0.01933334961760358
Brachiopoda,stage,stage2,Tournaisian,Famennian+Tournaisian,sorensen,0.8809384828819666,0.9110697394547116,0.030131256572744958
Brachiopoda,stage,stage2,Tournaisian,Famennian+Tournaisian,turnover,0.715073172252921,0.7932990325248399,0.07822586027191891
Brachiopoda,stage,stage2,Tournaisian,Famennian+Tournaisian,nestedness,0.16586531062904555,0.11777070692987172,-0.04809460369917383
Brachiopoda,stage,stage2,Tournaisian,Famennian+Tournaisian,decay_slope,2.3709791294258626e-06,1.9103292188190297e-06,-4.606499106068329e-07
Brachiopoda,stage,stage2,Serpukhovian,Visean+Serpukhovian,beta_jaccard,0.9305673133125806,0.9432220815924535,0.012654768279872886
Brachiopoda,stage,stage2,Serpukhovian,Visean+Serpukhovian,sorensen,0.8870186058675212,0.9038873454610549,0.016868739593533633
Brachiopoda,stage,stage2,Serpukhovian,Visean+Serpukhovian,turnover,0.713317416832975,0.7335804951177847,0.020263078284809666
Brachiopoda,stage,stage2,Serpukhovian,Visean+Serpukhovian,nestedness,0.17370118903454587,0.17030685034327012,-0.0033943386912757556
Brachiopoda,stage,stage2,Serpukhovian,Visean+Serpukhovian,decay_slope,8.959501162185365e-06,4.488997174606237e-06,-4.470503987579127e-06
Brachiopoda,stage,stage2,Moscovian,Bashkirian+Moscovian,beta_jaccard,0.9386862361087982,0.9445173454654193,0.0058311093566211225
Brachiopoda,stage,stage2,Moscovian,Bashkirian+Moscovian,sorensen,0.8919020180536767,0.9030599805027191,0.011157962449042325
Brachiopoda,stage,stage2,Moscovian,Bashkirian+Moscovian,turnover,0.8095965863558613,0.8100378623962868,0.00044127604042554225
Brachiopoda,stage,stage2,Moscovian,Bashkirian+Moscovian,nestedness,0.08230543169781547,0.09302211810643203,0.01071668640861656
Brachiopoda,stage,stage2,Moscovian,Bashkirian+Moscovian,decay_slope,4.333418479914324e-06,5.089627818285889e-06,7.562093383715648e-07
Brachiopoda,stage,stage2,Kasimovian,Kasimovian+Gzhelian,beta_jaccard,0.9455235061198505,0.945333094052176,-0.0001904120676744503
Brachiopoda,stage,stage2,Kasimovian,Kasimovian+Gzhelian,sorensen,0.9117166369746601,0.9091912859989315,-0.002525350975728591
Brachiopoda,stage,stage2,Kasimovian,Kasimovian+Gzhelian,turnover,0.8134702598988313,0.7798012545724474,-0.03366900532638384
Brachiopoda,stage,stage2,Kasimovian,Kasimovian+Gzhelian,nestedness,0.09824637707582873,0.12939003142648403,0.031143654350655303
