definition,event_date,guild,n_individual_days
A_zscore,2022-05-17,E_seabird_predator,1
A_zscore,2022-06-14,A_plankton_feeding_mobile,9
A_zscore,2022-06-14,C_mesopredator,18
A_zscore,2022-06-14,D_mobile_predator,50
A_zscore,2022-06-14,E_seabird_predator,34
A_zscore,2022-07-01,A_plankton_feeding_mobile,9
A_zscore,2022-07-01,C_mesopredator,18
A_zscore,2022-07-01,D_mobile_predator,17
A_zscore,2022-07-01,E_seabird_predator,21
A_zscore,2022-09-16,A_plankton_feeding_mobile,6
A_zscore,2022-09-16,C_mesopredator,18
A_zscore,2022-09-16,D_mobile_predator,3
A_zscore,2022-09-16,E_seabird_predator,3
A_zscore,2022-11-25,A_plankton_feeding_mobile,6
A_zscore,2022-11-25,C_mesopredator,15
A_zscore,2022-11-25,E_seabird_predator,3
A_zscore,2023-01-16,A_plankton_feeding_mobile,6
A_zscore,2023-01-16,C_mesopredator,3
A_zscore,2023-01-16,E_seabird_predator,3
A_zscore,2023-01-29,A_plankton_feeding_mobile,6
A_zscore,2023-01-29,C_mesopredator,3
A_zscore,2023-01-29,E_seabird_predator,3
A_zscore,2023-02-14,A_plankton_feeding_mobile,6
A_zscore,2023-02-14,C_mesopredator,3
A_zscore,2023-02-14,E_seabird_predator,3
A_zscore,2023-03-17,A_plankton_feeding_mobile,6
A_zscore,2023-03-17,C_mesopredator,3
A_zscore,2023-03-17,E_seabird_predator,3
A_zscore,2023-04-02,A_plankton_feeding_mobile,3
A_zscore,2023-04-02,C_mesopredator,3
B_percentile,2022-06-03,A_plankton_feeding_mobile,10
B_percentile,2022-06-03,C_mesopredator,18
B_percentile,2022-06-03,D_mobile_predator,63
B_percentile,2022-06-03,E_seabird_predator,47
B_percentile,2022-06-14,A_plankton_feeding_mobile,9
B_percentile,2022-06-14,C_mesopredator,18
B_percentile,2022-06-14,D_mobile_predator,50
B_percentile,2022-06-14,E_seabird_predator,34
B_percentile,2022-06-26,A_plankton_feeding_mobile,9
B_percentile,2022-06-26,C_mesopredator,18
B_percentile,2022-06-26,D_mobile_predator,19
B_percentile,2022-06-26,E_seabird_predator,21
B_percentile,2022-07-20,A_plankton_feeding_mobile,9
B_percentile,2022-07-20,C_mesopredator,18
B_percentile,2022-07-20,D_mobile_predator,12
B_percentile,2022-07-20,E_seabird_predator,13
B_percentile,2022-08-17,A_plankton_feeding_mobile,9
B_percentile,2022-08-17,C_mesopredator,18
B_percentile,2022-08-17,D_mobile_predator,3
B_percentile,2022-08-17,E_seabird_predator,3
