event_date,placebo_date,offset_days,slope
2022-06-03,2022-04-19,-45,
2022-06-03,2022-07-18,45,-0.20036216534109233
2022-06-03,2022-05-04,-30,
2022-06-03,2022-07-03,30,-0.08159847497937377
2022-06-14,2022-04-15,-60,
2022-06-14,2022-07-29,45,-0.2102468084478465
2022-06-14,2022-07-14,30,-0.20539831499401084
2022-06-14,2022-08-13,60,-0.040028430833270026
2022-06-26,2022-07-26,30,-0.20627791612923935
2022-06-26,2022-05-27,-30,
2022-06-26,2022-08-25,60,-0.22477485401980746
2022-06-26,2022-08-10,45,0.005800481504798007
2022-07-20,2022-05-21,-60,
2022-07-20,2022-06-20,-30,-0.0508698468511504
2022-07-20,2022-08-19,30,-0.30335982187783017
2022-07-20,2022-09-18,60,-0.15717912923178656
2022-08-17,2022-09-16,30,-0.21427559799537718
2022-08-17,2022-07-03,-45,-0.08159847497937377
2022-08-17,2022-10-01,45,0.15617618359308336
2022-08-17,2022-07-18,-30,-0.20036216534109233
2022-09-12,2022-10-27,45,0.08112439134223513
2022-09-12,2022-07-29,-45,-0.2102468084478465
2022-09-12,2022-08-13,-30,-0.040028430833270026
2022-09-12,2022-07-14,-60,-0.20539831499401084
2022-09-24,2022-11-23,60,0.15030889450057447
2022-09-24,2022-07-26,-60,-0.20627791612923935
2022-09-24,2022-10-24,30,0.033399709059379314
2022-09-24,2022-11-08,45,-0.08662188884151824
2022-10-03,2022-08-19,-45,-0.30335982187783017
2022-10-03,2022-11-02,30,-0.2375584824676526
2022-10-03,2022-11-17,45,-0.026953123767792117
2022-10-03,2022-09-03,-30,-0.19426300863525617
2022-10-26,2022-09-11,-45,0.04084221159662765
2022-10-26,2022-09-26,-30,0.06304571498252351
2022-10-26,2022-12-10,45,-0.10747688999107938
2022-10-26,2022-11-25,30,0.028036934102476464
2022-11-05,2022-09-21,-45,-0.04320438881371861
2022-11-05,2022-12-05,30,0.26712751637024496
2022-11-05,2023-01-04,60,0.048527443787900665
2022-11-05,2022-09-06,-60,0.028376006859605563
2022-11-25,2022-12-25,30,0.13386850453518362
2022-11-25,2022-10-11,-45,-0.11973996507707939
2022-11-25,2023-01-24,60,0.05241241217602117
2022-11-25,2022-10-26,-30,0.1108447464177013
2023-01-16,2023-02-15,30,-0.24238387743249715
2023-01-16,2023-03-02,45,0.11329838639168041
2023-01-16,2022-12-17,-30,0.00927785812356707
2023-01-16,2022-12-02,-45,0.07096032615858189
2023-01-29,2023-03-15,45,0.11865541202403021
2023-01-29,2022-12-30,-30,0.005055366910643225
2023-01-29,2023-02-28,30,0.08432004603827749
2023-01-29,2023-03-30,60,0.4397699725426973
2023-02-14,2022-12-31,-45,-0.002659383618762819
2023-02-14,2023-04-15,60,0.007898849556126972
2023-02-14,2023-01-15,-30,-0.2022995188310351
2023-02-14,2023-03-31,45,0.46151280174712883
2023-03-17,2023-02-15,-30,-0.24238387743249715
2023-03-17,2023-05-01,45,
2023-03-17,2023-01-31,-45,-0.013218821905834077
2023-03-17,2023-04-16,30,0.1020154182895868
2023-03-29,2023-05-13,45,
2023-03-29,2023-02-27,-30,0.09041271283934499
2023-03-29,2023-01-28,-60,0.07378050760648781
