ind,cell,ym,u_t,u_tm12
GR169,2255,24094,0.0,0.0
GR169,2256,24094,0.0,0.0
GR169,2360,24094,0.0,0.0
GR169,2361,24094,0.0,0.0
GR169,2362,24094,0.0,0.0
GR169,2363,24094,0.0,0.0
GR169,2465,24094,0.0,0.0
GR169,2466,24094,0.0,0.0
GR169,2467,24094,0.0,0.0
GR169,2468,24094,0.0,0.0
GR169,2568,24094,0.0,0.0
GR169,2569,24094,0.0,0.0
GR169,2570,24094,0.0,0.0
GR169,2571,24094,0.0,0.0
GR169,2572,24094,0.0,0.0
GR169,2573,24094,0.0,0.0
GR169,2673,24094,0.0,0.0
GR169,2674,24094,0.0,0.0
GR169,2675,24094,0.0,0.0
GR169,2676,24094,0.0,0.0
GR169,2677,24094,0.0,0.0
GR169,2678,24094,0.0,0.0015424164524421595
GR169,2679,24094,0.0,0.0
GR169,2779,24094,0.0,0.0
GR169,2780,24094,0.06666666666666667,0.0
GR169,2781,24094,0.0,0.0
GR169,2782,24094,0.0,0.07146529562982006
GR169,2783,24094,0.0,0.07352185089974293
GR169,2784,24094,0.0,0.027763496143958868
GR169,2881,24094,0.0,0.0
GR169,2882,24094,0.0,0.0
GR169,2883,24094,0.0,0.0
GR169,2884,24094,0.06666666666666667,0.0
GR169,2885,24094,0.13333333333333333,0.07403598971722365
GR169,2886,24094,0.4,0.21491002570694087
GR169,2887,24094,0.06666666666666667,0.17480719794344474
GR169,2888,24094,0.0,0.11362467866323907
GR169,2889,24094,0.0,0.07969151670951156
GR169,2890,24094,0.0,0.0035989717223650387
GR169,2891,24094,0.0,0.0
GR169,2985,24094,0.0,0.0
GR169,2986,24094,0.0,0.0
GR169,2987,24094,0.0,0.0
GR169,2988,24094,0.0,0.0
GR169,2989,24094,0.0,0.0
GR169,2990,24094,0.06666666666666667,0.014910025706940874
GR169,2991,24094,0.0,0.032904884318766064
GR169,2992,24094,0.0,0.1167095115681234
GR169,2993,24094,0.0,0.0
GR169,2994,24094,0.06666666666666667,0.0
GR169,2995,24094,0.13333333333333333,0.0
GR169,2996,24094,0.0,0.0
GR169,3091,24094,0.0,0.0
GR169,3092,24094,0.0,0.0
GR169,3093,24094,0.0,0.0
GR169,3094,24094,0.0,0.0
GR169,3095,24094,0.0,0.0
GR169,3096,24094,0.0,0.0
