system,species,horizon,HG_h
foss,walleye_pollock,1,0.050631284749535266
foss,walleye_pollock,2,0.026867432259571777
foss,walleye_pollock,3,0.009812129454195628
foss,walleye_pollock,5,0.0062909917398569215
foss,pacific_cod,1,0.03576894231495309
foss,pacific_cod,2,0.019252468544240786
foss,pacific_cod,3,0.01140866434913046
foss,pacific_cod,5,0.006595827262824483
foss,yellowfin_sole,1,0.020372289696108048
foss,yellowfin_sole,2,0.011052271000622005
foss,yellowfin_sole,3,0.010038174265430855
foss,yellowfin_sole,5,0.008587693862713408
foss,northern_rock_sole,1,0.03048630055255208
foss,northern_rock_sole,2,0.02601820001267885
foss,northern_rock_sole,3,0.03217250958124873
foss,northern_rock_sole,5,0.03278655532837671
foss,arrowtooth_flounder,1,0.2431710147127355
foss,arrowtooth_flounder,2,0.21574980924806808
foss,arrowtooth_flounder,3,0.18512300313114016
foss,arrowtooth_flounder,5,0.1637553594365413
foss,pacific_halibut,1,0.018686499833038606
foss,pacific_halibut,2,0.01315016323991225
foss,pacific_halibut,3,0.008988767586391777
foss,pacific_halibut,5,0.006160900636874467
