species,matched_sets,effect_of_prior_state,ci_lo,ci_hi,p_boot,eff_abundance,ci_ab_lo,ci_ab_hi,n_prior0,n_prior1
1320,286,0.0,0.0,0.0,1.0,0.7795054618981616,0.608499078418349,0.9863015035029099,57,229
1720,209,0.0,0.0,0.0,1.0,0.6292307111942694,0.32783610928597096,0.9913102139588954,50,159
1940,281,0.0,0.0,0.0,1.0,0.35410918872792774,0.21577659274013883,0.4904765915600413,71,210
2010,140,0.0,0.0,0.0,1.0,0.0783142676680717,-0.06698167080700712,0.1981793837509967,49,91
2140,33,,,,,,,,3,30
2300,176,0.0,0.0,0.0,1.0,0.8129088973276031,0.5509595130451393,1.048144367399688,30,146
2730,566,0.0,0.0,0.0,1.0,0.8570711680096652,0.7206473585009173,0.993745663285799,55,511
2890,298,,,,,,,,15,283
3131,366,0.0,0.0,0.0,1.0,0.6127254385328162,0.3098732371515345,0.9229074354934944,55,311
3160,892,,,,,,,,7,885
3250,389,0.0,0.0,0.0,1.0,0.6483991940020599,0.44043055808583176,0.8429601543757208,49,340
3370,381,0.0,0.0,0.0,1.0,0.23698392426303416,0.13869842595871956,0.33515488842865343,71,310
3420,46,,,,,,,,6,40
3600,205,0.0,0.0,0.0,1.0,0.25023957730332635,0.13618056795615782,0.363037056697742,56,149
3870,319,0.0,0.0,0.0,1.0,0.5481232082743688,0.337322382428027,0.7392095918883007,30,289
3930,207,0.0,0.0,0.0,1.0,0.20860221027636228,0.10128178203178544,0.30490508471750066,62,145
3940,459,0.0,0.0,0.0,1.0,0.3147861248501105,0.21736527057888744,0.4307848582936447,70,389
4020,146,,,,,,,,10,136
4050,298,0.0,0.0,0.0,1.0,0.1973974138194079,0.05655965642253488,0.32469721114718575,65,233
4090,455,,,,,,,,18,437
4120,429,0.0,0.0,0.0,1.0,0.27994059001783,0.1898512034537237,0.39298149551167627,66,363
4130,146,,,,,,,,11,135
4200,142,,,,,,,,17,125
4230,434,0.0,0.0,0.0,1.0,0.5051305284908181,0.27379084242702023,0.7121921338417405,37,397
4280,163,0.0,0.0,0.0,1.0,0.22633543372259146,0.11425240120488732,0.3341050535676812,55,108
4440,511,0.0,0.0,0.0,1.0,0.5128749400809538,0.33568932695168663,0.6778558732495062,43,468
4520,482,0.0,0.0,0.0,1.0,0.7465481685197071,0.6080767044337353,0.8731283588667724,42,440
4560,403,0.0,0.0,0.0,1.0,0.7192621096326679,0.5505190324432027,0.8745606110709786,36,367
4590,75,,,,,,,,15,60
4610,469,0.0,0.0,0.0,1.0,0.6591734017470479,0.5167541058660464,0.7821908935271302,43,426
4620,145,,,,,,,,11,134
4650,183,0.0,0.0,0.0,1.0,0.5921051703297003,0.4585880781699636,0.7563730044711534,30,153
4660,171,0.0,0.0,0.0,1.0,0.6378339316371276,0.5105582744640318,0.7948208990179896,30,141
4661,181,,,,,,,,22,159
4670,201,,,,,,,,14,187
4740,343,,,,,,,,15,328
4750,150,,,,,,,,10,140
4770,645,,,,,,,,6,639
4860,318,,,,,,,,26,292
4880,810,,,,,,,,14,796
4930,748,0.0,0.0,0.0,1.0,1.911529345784461,1.6586919717306847,2.128375291676513,40,708
4940,210,,,,,,,,23,187
4950,765,0.0,0.0,0.0,1.0,0.9032498604157364,0.7263125771585309,1.0971474578043732,40,725
4980,827,,,,,,,,20,807
5010,443,0.0,0.0,0.0,1.0,1.1681774129233533,0.9911969338760107,1.320058391812617,37,406
5011,276,,,,,,,,13,263
5060,256,,,,,,,,24,232
5070,327,,,,,,,,24,303
5100,203,,,,,,,,8,195
5110,670,0.0,0.0,0.0,1.0,1.5289769155081296,1.2850380962005068,1.7307792697271769,30,640
5170,138,0.0,0.0,0.0,1.0,0.49371938350993694,0.3363227803557075,0.6615190361718751,30,108
5190,424,0.0,0.0,0.0,1.0,0.760387570613646,0.5521744276380122,0.9563603833185443,42,382
5290,596,,,,,,,,24,572
5330,100,,,,,,,,16,84
540,46,,,,,,,,11,35
5400,278,,,,,,,,16,262
5420,330,,,,,,,,26,304
5460,147,,,,,,,,18,129
5580,128,,,,,,,,2,126
5600,705,,,,,,,,22,683
5630,372,,,,,,,,29,343
5670,113,,,,,,,,7,106
5810,610,,,,,,,,16,594
5830,76,,,,,,,,9,67
5840,144,,,,,,,,24,120
5870,380,,,,,,,,19,361
5930,580,,,,,,,,9,571
