species,matched_sets,effect_of_prior_state,ci_lo,ci_hi,p_boot,eff_abundance,ci_ab_lo,ci_ab_hi,n_prior0,n_prior1
1320,286,0.0,0.0,0.0,1.0,0.7795054618981616,0.6301744143149008,0.917149256205209,57,229
1720,209,0.0,0.0,0.0,1.0,0.6292307111942694,0.38885413824590187,0.8678756446936629,50,159
1940,281,0.0,0.0,0.0,1.0,0.35410918872792774,0.2593559829622938,0.46447541820566485,71,210
2010,140,0.0,0.0,0.0,1.0,0.0783142676680717,-0.025460899776836,0.18713419043357254,49,91
2140,33,,,,,,,,3,30
2300,176,0.0,0.0,0.0,1.0,0.8129088973276031,0.6450889427401514,1.0084676870842835,30,146
2730,566,0.0,0.0,0.0,1.0,0.8570711680096652,0.7448232236490505,0.9857399164863251,55,511
2890,298,,,,,,,,15,283
3131,366,0.0,0.0,0.0,1.0,0.6127254385328162,0.3814064015287468,0.8309988345209389,55,311
3160,892,,,,,,,,7,885
3250,389,0.0,0.0,0.0,1.0,0.6483991940020599,0.5062253489639714,0.8354496756689677,49,340
3370,381,0.0,0.0,0.0,1.0,0.23698392426303416,0.17854393550188113,0.31388131641586303,71,310
3420,46,,,,,,,,6,40
3600,205,0.0,0.0,0.0,1.0,0.25023957730332635,0.1542957305499952,0.35931790702279626,56,149
3870,319,0.0,0.0,0.0,1.0,0.5481232082743688,0.4416302201297324,0.6553084330368127,30,289
3930,207,0.0,0.0,0.0,1.0,0.20860221027636228,0.1308261735573704,0.28590805050608403,62,145
3940,459,0.0,0.0,0.0,1.0,0.3147861248501105,0.2343531503069101,0.3990408682750547,70,389
4020,146,,,,,,,,10,136
4050,298,0.0,0.0,0.0,1.0,0.1973974138194079,0.10939201379261845,0.3074135137296025,65,233
4090,455,,,,,,,,18,437
4120,429,0.0,0.0,0.0,1.0,0.27994059001783,0.20426310865174716,0.36551761695888807,66,363
4130,146,,,,,,,,11,135
4200,142,,,,,,,,17,125
4230,434,0.0,0.0,0.0,1.0,0.5051305284908181,0.3558748569124664,0.6690691640319021,37,397
4280,163,0.0,0.0,0.0,1.0,0.22633543372259146,0.13259529759369842,0.30447934676222815,55,108
4440,511,0.0,0.0,0.0,1.0,0.5128749400809538,0.3824320389825909,0.6454992685095184,43,468
4520,482,0.0,0.0,0.0,1.0,0.7465481685197071,0.6351652181134128,0.8594640790667251,42,440
4560,403,0.0,0.0,0.0,1.0,0.7192621096326679,0.6023903939586468,0.8171276637593933,36,367
4590,75,,,,,,,,15,60
4610,469,0.0,0.0,0.0,1.0,0.6591734017470479,0.5491214127400857,0.7817408727445647,43,426
4620,145,,,,,,,,11,134
4650,183,0.0,0.0,0.0,1.0,0.5921051703297003,0.5163420149966761,0.6771601309451967,30,153
4660,171,0.0,0.0,0.0,1.0,0.6378339316371276,0.5163429832937869,0.7444555223757412,30,141
4661,181,,,,,,,,22,159
4670,201,,,,,,,,14,187
4740,343,,,,,,,,15,328
4750,150,,,,,,,,10,140
4770,645,,,,,,,,6,639
4860,318,,,,,,,,26,292
4880,810,,,,,,,,14,796
4930,748,0.0,0.0,0.0,1.0,1.911529345784461,1.732306720923974,2.111032495555188,40,708
4940,210,,,,,,,,23,187
4950,765,0.0,0.0,0.0,1.0,0.9032498604157364,0.7690325085318803,1.0746922313552612,40,725
4980,827,,,,,,,,20,807
5010,443,0.0,0.0,0.0,1.0,1.1681774129233533,1.054621973087597,1.3197531493135841,37,406
5011,276,,,,,,,,13,263
5060,256,,,,,,,,24,232
5070,327,,,,,,,,24,303
5100,203,,,,,,,,8,195
5110,670,0.0,0.0,0.0,1.0,1.5289769155081296,1.3640883891116387,1.644964953980276,30,640
5170,138,0.0,0.0,0.0,1.0,0.49371938350993694,0.40857535748820334,0.5859640446928042,30,108
5190,424,0.0,0.0,0.0,1.0,0.760387570613646,0.6041887712091937,0.9222418614430702,42,382
5290,596,,,,,,,,24,572
5330,100,,,,,,,,16,84
540,46,,,,,,,,11,35
5400,278,,,,,,,,16,262
5420,330,,,,,,,,26,304
5460,147,,,,,,,,18,129
5580,128,,,,,,,,2,126
5600,705,,,,,,,,22,683
5630,372,,,,,,,,29,343
5670,113,,,,,,,,7,106
5810,610,,,,,,,,16,594
5830,76,,,,,,,,9,67
5840,144,,,,,,,,24,120
5870,380,,,,,,,,19,361
5930,580,,,,,,,,9,571
5950,231,0.0,0.0,0.0,1.0,0.5352720448661705,0.4360010621483656,0.6349450691697485,31,200
5970,252,,,,,,,,16,236
5980,529,,,,,,,,11,518
6080,247,,,,,,,,20,227
6110,268,,,,,,,,17,251
6120,269,0.0,0.0,0.0,1.0,1.1257180118423142,0.8981104206687889,1.3473439732679782,44,225
6130,757,0.0,0.0,0.0,1.0,1.1411531087338918,1.0004594516251466,1.2607342786459816,41,716
6140,413,0.0,0.0,0.0,1.0,0.5883320276333517,0.43305812190033355,0.7716206375344337,39,374
6170,187,0.0,0.0,0.0,1.0,0.3939045228670599,0.28847612564586333,0.5152056050934734,43,144
6190,388,0.0,0.0,0.0,1.0,0.7862759672850466,0.593348383196949,0.9716602781422903,39,349
6240,553,,,,,,,,16,537
6270,375,,,,,,,,27,348
6280,166,0.0,0.0,0.0,1.0,0.2515457343285361,0.14539452453661972,0.38408775309950444,33,133
6290,120,,,,,,,,12,108
6310,234,,,,,,,,10,224
6360,207,,,,,,,,26,181
6450,95,,,,,,,,6,89
6480,204,,,,,,,,21,183
6520,495,0.0,0.0,0.0,1.0,1.1366053647471448,1.0304356094025064,1.2398779717537805,41,454
6550,129,,,,,,,,7,122
