AOU,routes,years,nz,med_n,tot,nz_frac,included,reason
10,216,28,1013,3.0,3647,0.27776254455717025,False,few_routes
100,59,26,222,2.0,784,0.28316326530612246,False,few_routes
10210,16,10,44,4.0,283,0.15547703180212014,False,few_routes
1060,1,1,1,2.0,15,0.06666666666666667,False,few_routes
11,56,26,201,3.0,967,0.2078593588417787,False,few_routes
110,66,26,270,2.0,850,0.3176470588235294,False,few_routes
1150,1,1,1,1.0,15,0.06666666666666667,False,few_routes
1170,29,26,139,15.0,355,0.39154929577464787,False,few_routes
1180,245,26,1205,1.0,4169,0.2890381386423603,False,few_routes
1190,8,13,19,2.0,128,0.1484375,False,few_routes
12,19,17,36,4.5,345,0.10434782608695652,False,few_routes
1200,1267,30,5078,3.0,21754,0.2334283350188471,False,low_prevalence
1205,10,9,12,1.0,177,0.06779661016949153,False,few_routes
1206,3,3,4,1.5,32,0.125,False,few_routes
1207,7,22,34,4.0,97,0.35051546391752575,False,few_routes
1210,64,26,302,5.0,999,0.3023023023023023,False,few_routes
1220,7,22,56,3.0,113,0.49557522123893805,False,few_routes
1230,21,28,100,2.5,341,0.2932551319648094,False,few_routes
1250,476,28,2534,7.0,7401,0.3423861640318876,False,few_routes
1260,61,26,419,8.0,931,0.45005370569280345,False,few_routes
1280,12,22,51,2.0,175,0.2914285714285714,False,few_routes
1290,956,28,3242,1.0,15574,0.20816745858482086,False,few_routes
1300,124,26,371,3.0,1748,0.2122425629290618,False,few_routes
1310,528,28,1144,1.0,9753,0.11729724187429509,False,few_routes
1320,3346,34,25500,4.0,54141,0.470992408710589,True,
1326,7,12,17,3.0,111,0.15315315315315314,False,few_routes
1330,355,28,1056,2.0,5558,0.18999640158330336,False,few_routes
1331,29,26,108,2.0,493,0.21906693711967545,False,few_routes
1340,108,26,727,3.0,1741,0.41757610568638714,False,few_routes
1350,761,30,5158,4.0,11675,0.4417987152034261,False,few_routes
1360,1,2,2,1.0,18,0.1111111111111111,False,few_routes
1370,652,29,3204,2.0,9528,0.336272040302267,False,few_routes
1390,810,28,2886,2.0,12865,0.22432957636999612,False,few_routes
140,2,3,3,1.0,26,0.11538461538461539,False,few_routes
1400,996,31,5473,4.0,16060,0.34078455790784556,False,few_routes
1410,380,27,1678,2.0,6284,0.26702737110120944,False,few_routes
1420,705,29,3859,4.0,10674,0.36153269627131346,False,few_routes
1430,678,30,3249,3.0,10330,0.31452081316553726,False,few_routes
1440,2079,28,8778,2.0,37945,0.23133482672288838,False,few_years
1460,423,29,2263,4.0,6750,0.33525925925925926,False,few_routes
1470,311,28,1297,3.0,4599,0.2820178299630354,False,few_routes
1480,70,26,302,5.0,949,0.31822971548998946,False,few_routes
1489,39,25,113,5.0,570,0.19824561403508772,False,few_routes
1490,518,29,2721,4.0,7605,0.35779092702169624,False,few_routes
150,6,20,26,6.5,100,0.26,False,few_routes
1500,569,30,1991,2.0,8677,0.22945718566324766,False,few_routes
1510,406,28,1235,2.0,5263,0.23465703971119134,False,few_routes
1512,23,23,44,1.0,404,0.10891089108910891,False,few_routes
1520,126,28,449,2.0,2020,0.22227722772277228,False,few_routes
1530,329,27,1291,2.0,4651,0.277574715115029,False,few_routes
1540,27,26,151,2.0,356,0.4241573033707865,False,few_routes
1550,53,27,169,2.0,801,0.21098626716604243,False,few_routes
1570,1,3,3,7.0,3,1.0,False,few_routes
1580,1,3,3,5.0,3,1.0,False,few_routes
1590,39,28,179,17.0,429,0.4172494172494173,False,few_routes
1620,2,8,8,3.5,11,0.7272727272727273,False,few_routes
1630,19,23,55,5.0,254,0.21653543307086615,False,few_routes
1650,41,27,96,4.0,579,0.16580310880829016,False,few_routes
1657,4,4,6,16.0,62,0.0967741935483871,False,few_routes
1660,39,23,71,5.0,490,0.14489795918367346,False,few_routes
16600,1,1,1,1.0,26,0.038461538461538464,False,few_routes
1670,444,28,2361,4.0,7081,0.33342748199406863,False,few_routes
1690,8,12,17,5.0,75,0.22666666666666666,False,few_routes
1700,1,1,1,6.0,8,0.125,False,few_routes
1710,25,26,149,7.0,347,0.42939481268011526,False,few_routes
1720,3263,32,22942,8.0,53152,0.43163004214328715,True,
1725,9,9,20,3.5,153,0.13071895424836602,False,few_routes
1740,3,17,17,27.0,29,0.5862068965517241,False,few_routes
1760,1,1,1,1.0,16,0.0625,False,few_routes
1770,229,27,1330,5.0,3834,0.3468961919666145,False,few_routes
1780,50,27,373,9.0,749,0.4979973297730307,False,few_routes
1782,97,27,342,2.0,1818,0.18811881188118812,False,few_routes
1800,38,26,188,3.0,498,0.37751004016064255,False,few_routes
1810,225,26,741,2.0,3860,0.19196891191709844,False,few_routes
1830,91,26,457,3.0,1373,0.3328477785870357,False,few_routes
1840,308,27,2314,9.0,5097,0.4539925446340985,False,few_routes
1860,93,28,424,3.0,1615,0.2625386996904025,False,few_routes
1861,27,25,153,14.0,441,0.3469387755102041,False,few_routes
1870,230,26,1029,15.0,3741,0.27506014434643145,False,few_routes
1880,159,27,672,2.0,2685,0.25027932960893856,False,few_routes
1900,953,28,4485,2.0,14880,0.3014112903225806,False,few_routes
1910,140,27,349,1.0,2597,0.13438582980361957,False,few_routes
1920,8,17,26,1.0,113,0.23008849557522124,False,few_routes
1940,3429,35,25553,2.0,57012,0.4482038869010033,True,
1945,24,14,36,2.0,418,0.0861244019138756,False,few_routes
19510,1,3,3,3.0,9,0.3333333333333333,False,few_routes
1960,1038,28,7391,3.0,17663,0.41844533771160053,False,few_years
1970,430,26,2192,3.0,7243,0.30263702885544663,False,few_routes
1980,18,26,93,1.0,266,0.34962406015037595,False,few_routes
1990,159,26,950,2.0,2659,0.3572771718691237,False,few_routes
20,253,27,1151,2.0,3641,0.31612194452073605,False,few_routes
2000,537,27,3550,2.0,9109,0.3897244483477879,False,few_routes
2001,726,28,6324,14.0,12115,0.5219975237309121,False,few_routes
2010,1934,31,11358,1.0,35015,0.3243752677423961,True,
2020,549,27,1915,2.0,9325,0.20536193029490615,False,few_routes
2030,273,26,849,1.0,4732,0.1794167371090448,False,few_routes
2035,22,19,33,2.0,392,0.08418367346938775,False,few_routes
2040,4,6,6,1.0,78,0.07692307692307693,False,few_routes
2060,1015,29,7259,4.0,15432,0.470386210471747,False,few_years
20630,1,2,2,2.0,22,0.09090909090909091,False,few_routes
2070,43,26,132,1.0,772,0.17098445595854922,False,few_routes
2080,51,26,174,1.0,838,0.20763723150357996,False,few_routes
2090,2,2,3,4.0,25,0.12,False,few_routes
210,1,1,1,11.0,2,0.5,False,few_routes
2110,51,26,412,3.0,893,0.46136618141097424,False,few_routes
2111,6,20,29,3.0,111,0.26126126126126126,False,few_routes
2120,338,27,843,1.0,6341,0.1329443305472323,False,few_routes
2140,1019,31,5334,2.0,15690,0.339961759082218,True,
2150,63,25,162,1.5,1094,0.1480804387568556,False,few_routes
2160,6,20,25,1.0,128,0.1953125,False,few_routes
2180,40,26,114,1.0,621,0.18357487922705315,False,few_routes
2190,177,27,879,2.0,3191,0.27546223754308996,False,few_routes
2210,868,28,5017,4.0,13735,0.36527120495085547,False,few_routes
2220,1,3,3,113.0,3,1.0,False,few_routes
2230,32,26,131,2.0,456,0.28728070175438597,False,few_routes
2240,523,28,2609,3.0,8072,0.32321605550049554,False,few_routes
2250,447,28,2055,3.0,6951,0.2956409149762624,False,few_routes
2260,306,27,1404,3.0,4896,0.2867647058823529,False,few_routes
2280,319,28,539,1.0,5768,0.09344660194174757,False,few_routes
22860,1950,26,13422,4.0,33012,0.4065794256633951,False,few_years
230,41,26,306,5.0,638,0.47962382445141066,False,few_routes
2300,1866,35,15974,4.0,27035,0.5908636952099131,True,
2310,19,25,65,2.0,237,0.2742616033755274,False,few_routes
2320,3,3,4,4.5,36,0.1111111111111111,False,few_routes
2327,2,3,3,1.0,27,0.1111111111111111,False,few_routes
2330,4,10,13,3.0,26,0.5,False,few_routes
2340,2,3,3,2.0,19,0.15789473684210525,False,few_routes
2356,2,11,12,65.5,12,1.0,False,few_routes
2390,5,8,9,1.0,55,0.16363636363636364,False,few_routes
240,1,2,2,11.5,2,1.0,False,few_routes
2400,1,3,3,3.0,3,1.0,False,few_routes
2410,3,5,5,1.0,39,0.1282051282051282,False,few_routes
2420,44,26,184,2.0,610,0.3016393442622951,False,few_routes
2422,1,1,1,1.0,3,0.3333333333333333,False,few_routes
2429,15,13,34,2.0,259,0.13127413127413126,False,few_routes
2430,7,17,29,4.0,83,0.3493975903614458,False,few_routes
2460,15,23,56,6.5,213,0.26291079812206575,False,few_routes
2470,12,21,63,5.0,145,0.43448275862068964,False,few_routes
2480,1,1,1,5.0,15,0.06666666666666667,False,few_routes
2490,368,29,2885,4.0,5047,0.5716267089360015,False,few_routes
2500,6,13,24,2.0,77,0.3116883116883117,False,few_routes
2510,5,21,35,2.0,71,0.49295774647887325,False,few_routes
2540,248,26,1062,2.0,2968,0.3578167115902965,False,few_routes
2550,236,27,1209,2.0,3065,0.39445350734094614,False,few_routes
