system,era,environment_type,data_type,region,time_interval,lower_trophic_definition,higher_trophic_definition,metric,effect_estimate,effect_scale,lower_ci,upper_ci,p_value,sample_size,effect_direction,standardized_effect,sampling_pool_sensitivity,time_aggregation_sensitivity,distance_decay_effect,temporal_lag,observation_bias_score,robustness_class,analysis_script,data_source,notes
cenozoic,Cenozoic (Miocene-Pliocene),terrestrial,fossil_occurrence,North America (PBDB cc=NOA),23-5 Ma,herbivorous mammal orders (see protocols/cenozoic_mammals/config.yaml),Carnivora (terrestrial),delta_beta_simpson,-0.0283788573129074,Simpson turnover diff (predator - herbivore),-0.0403879530105924,-0.0177247200994499,0.0,1661 herbivore / 809 predator collections,lower<higher,NA,NA,NA,mantel r herbivore=0.0867; predator=0.1027,NA,NA,B,cenozoic_mammals/analysis/03_beta_diversity.py,PBDB 1.2 API,sign replicates dinosaur (predator turnover lower) but magnitude is within the genus-pool null (quantile ~0.33) — PARTIAL
cenozoic,Cenozoic (Miocene-Pliocene),terrestrial,fossil_occurrence,North America (PBDB cc=NOA),23-5 Ma,herbivorous mammal orders (see protocols/cenozoic_mammals/config.yaml),Carnivora (terrestrial),delta_beta_sorensen,-0.0262307697692898,Sorensen turnover diff,-0.0335699396287601,-0.0206303534979438,0.0,1661 herbivore / 809 predator collections,lower<higher,NA,NA,NA,mantel r herbivore=0.0878; predator=0.1028,NA,NA,NA,cenozoic_mammals/analysis/03_beta_diversity.py,PBDB 1.2 API,NA
cenozoic,Cenozoic (Miocene-Pliocene),terrestrial,fossil_occurrence,North America (PBDB cc=NOA),23-5 Ma,herbivorous mammal orders (see protocols/cenozoic_mammals/config.yaml),Carnivora (terrestrial),sampling_pool_sensitivity,NA,delta_beta_simpson under correction,-0.0251581956782104,-0.0251581956782104,0.0,NA,lower<higher,NA,0.0032206616346969995,NA,NA,NA,NA,NA,cenozoic_mammals/analysis/04_sampling_bias.py,PBDB 1.2 API,correction=no_dominant_quarries
cenozoic,Cenozoic (Miocene-Pliocene),terrestrial,fossil_occurrence,North America (PBDB cc=NOA),23-5 Ma,herbivorous mammal orders (see protocols/cenozoic_mammals/config.yaml),Carnivora (terrestrial),sampling_pool_sensitivity,NA,delta_beta_simpson under correction,-0.0103597293007352,-0.0103597293007352,0.0,NA,lower<higher,NA,0.018019128012172196,NA,NA,NA,NA,NA,cenozoic_mammals/analysis/04_sampling_bias.py,PBDB 1.2 API,correction=no_singletons
cenozoic,Cenozoic (Miocene-Pliocene),terrestrial,fossil_occurrence,North America (PBDB cc=NOA),23-5 Ma,herbivorous mammal orders (see protocols/cenozoic_mammals/config.yaml),Carnivora (terrestrial),sampling_pool_sensitivity,NA,delta_beta_simpson under correction,-0.033845796094257,-0.0225234591102299,0.0,NA,lower<higher,NA,0.00012531773801019788,NA,NA,NA,NA,NA,cenozoic_mammals/analysis/04_sampling_bias.py,PBDB 1.2 API,correction=equalized_collections
cenozoic,Cenozoic (Miocene-Pliocene),terrestrial,fossil_occurrence,North America (PBDB cc=NOA),23-5 Ma,herbivorous mammal orders (see protocols/cenozoic_mammals/config.yaml),Carnivora (terrestrial),sampling_pool_sensitivity,NA,delta_beta_simpson under correction,-0.0503807777525861,-0.004516710116221,0.001001001001001,NA,lower<higher,NA,0.0020455873528162985,NA,NA,NA,NA,NA,cenozoic_mammals/analysis/04_sampling_bias.py,PBDB 1.2 API,correction=spatial_thinning_1deg
cenozoic,Cenozoic (Miocene-Pliocene),terrestrial,fossil_occurrence,North America (PBDB cc=NOA),23-5 Ma,herbivorous mammal orders (see protocols/cenozoic_mammals/config.yaml),Carnivora (terrestrial),time_aggregation_sensitivity,-0.0283788573129074,delta_beta_simpson per binning,NA,NA,NA,NA,lower<higher,NA,NA,0.0,NA,NA,NA,NA,cenozoic_mammals/analysis/05_aggregation.py,PBDB 1.2 API,binning=pooled
cenozoic,Cenozoic (Miocene-Pliocene),terrestrial,fossil_occurrence,North America (PBDB cc=NOA),23-5 Ma,herbivorous mammal orders (see protocols/cenozoic_mammals/config.yaml),Carnivora (terrestrial),time_aggregation_sensitivity,-0.0873425845795979,delta_beta_simpson per binning,NA,NA,NA,NA,lower<higher,NA,NA,-0.0589637272666905,NA,NA,NA,NA,cenozoic_mammals/analysis/05_aggregation.py,PBDB 1.2 API,binning=epoch
cenozoic,Cenozoic (Miocene-Pliocene),terrestrial,fossil_occurrence,North America (PBDB cc=NOA),23-5 Ma,herbivorous mammal orders (see protocols/cenozoic_mammals/config.yaml),Carnivora (terrestrial),time_aggregation_sensitivity,-0.0807434927995845,delta_beta_simpson per binning,NA,NA,NA,NA,lower<higher,NA,NA,-0.0523646354866771,NA,NA,NA,NA,cenozoic_mammals/analysis/05_aggregation.py,PBDB 1.2 API,binning=ma5
cenozoic,Cenozoic (Miocene-Pliocene),terrestrial,fossil_occurrence,North America (PBDB cc=NOA),23-5 Ma,herbivorous mammal orders (see protocols/cenozoic_mammals/config.yaml),Carnivora (terrestrial),time_aggregation_sensitivity,-0.0784025018094864,delta_beta_simpson per binning,NA,NA,NA,NA,lower<higher,NA,NA,-0.050023644496579,NA,NA,NA,NA,cenozoic_mammals/analysis/05_aggregation.py,PBDB 1.2 API,binning=ma1
