prefecture,open_year,n_stores,pre_mean,post_mean,pct_change
青森県,2007,1,15678.333333333334,11271.0,-28.110981184224514
岩手県,2007,1,11950.0,8839.0,-26.03347280334728
秋田県,2006,1,9032.333333333334,6826.333333333333,-24.4233679005056
北海道,2007,4,109688.66666666667,83744.33333333333,-23.652701889590546
岐阜県,2011,1,18892.333333333332,14588.0,-22.783492421970106
高知県,2009,1,7254.666666666667,5670.333333333333,-21.838816394045217
群馬県,2007,1,29003.333333333332,22670.0,-21.836570509136877
徳島県,2009,1,7485.0,5876.333333333333,-21.491872634157208
福島県,2005,2,23494.0,18530.0,-21.1287988422576
石川県,2006,1,12950.0,10234.0,-20.972972972972972
新潟県,2005,1,27373.666666666668,21633.0,-20.9714932843
愛媛県,2010,1,13913.0,10995.333333333334,-20.9707947004001
三重県,2007,2,25839.0,20522.0,-20.577421726847014
長野県,2006,1,24625.0,19559.0,-20.57258883248731
岡山県,2008,1,26263.0,20892.333333333332,-20.449555140946078
栃木県,2005,1,33143.666666666664,26543.0,-19.915318160332284
宮崎県,2006,1,12596.0,10114.666666666666,-19.699375463109988
香川県,2007,1,12567.0,10106.666666666666,-19.577730033686112
佐賀県,2006,1,10633.0,8559.0,-19.505313646195805
和歌山県,2007,1,12670.0,10225.666666666666,-19.29229150223626
宮城県,2009,1,34567.0,28106.333333333332,-18.690272996403124
大分県,2006,1,12995.333333333334,10596.0,-18.463038013645928
熊本県,2005,1,24359.0,19929.333333333332,-18.184928226391346
千葉県,2009,3,102752.33333333333,84691.0,-17.577540818213368
沖縄県,2009,2,14337.0,11892.333333333334,-17.051451954151258
鹿児島県,2005,1,19776.0,16543.0,-16.348098705501616
福岡県,2004,4,110729.0,95596.0,-13.666699780545294
広島県,2003,2,52379.0,47559.0,-9.202161171461846
