year,prefecture,city,municipality,total_theft,has_r1,first_r1_year,post_r1,purse_snatching,car_break_in,parts_theft,vending_machine,car_theft,motorcycle_theft,bicycle_theft
2018,北海道,札幌市,北海道_札幌市,4,0,,0,0,4,0,0,0,0,0
2018,北海道,札幌市中央区,北海道_札幌市中央区,631,0,,0,5,58,22,9,4,6,527
2018,北海道,札幌市北区,北海道_札幌市北区,656,0,,0,0,98,35,1,8,9,505
2018,北海道,札幌市東区,北海道_札幌市東区,401,1,2007.0,1,1,109,19,2,8,2,260
2018,北海道,札幌市白石区,北海道_札幌市白石区,406,1,2008.0,1,3,84,36,15,7,7,254
2018,北海道,札幌市豊平区,北海道_札幌市豊平区,323,0,,0,2,49,18,8,5,2,239
2018,北海道,札幌市南区,北海道_札幌市南区,137,0,,0,0,61,3,0,0,1,72
2018,北海道,札幌市西区,北海道_札幌市西区,244,0,,0,0,36,19,4,1,4,180
2018,北海道,札幌市厚別区,北海道_札幌市厚別区,200,0,,0,2,22,14,0,0,3,159
2018,北海道,札幌市手稲区,北海道_札幌市手稲区,210,0,,0,1,38,16,0,2,3,150
2018,北海道,札幌市清田区,北海道_札幌市清田区,124,0,,0,0,48,14,0,1,1,60
2018,北海道,函館市,北海道_函館市,396,1,2007.0,1,0,186,25,7,1,0,177
2018,北海道,小樽市,北海道_小樽市,81,0,,0,0,51,10,1,0,5,14
2018,北海道,旭川市,北海道_旭川市,280,1,2007.0,1,2,37,25,2,4,3,207
2018,北海道,室蘭市,北海道_室蘭市,36,0,,0,0,11,0,0,0,0,25
2018,北海道,釧路市,北海道_釧路市,137,0,,0,0,27,14,2,1,0,93
2018,北海道,帯広市,北海道_帯広市,182,0,,0,0,40,9,31,6,0,96
2018,北海道,北見市,北海道_北見市,88,0,,0,0,18,3,0,1,2,64
2018,北海道,夕張市,北海道_夕張市,3,0,,0,0,3,0,0,0,0,0
2018,北海道,岩見沢市,北海道_岩見沢市,95,0,,0,0,39,9,2,3,0,42
2018,北海道,網走市,北海道_網走市,28,0,,0,0,16,1,1,1,0,9
2018,北海道,留萌市,北海道_留萌市,9,0,,0,0,3,4,0,0,0,2
2018,北海道,苫小牧市,北海道_苫小牧市,324,0,,0,1,89,20,16,10,7,181
2018,北海道,稚内市,北海道_稚内市,3,0,,0,0,1,0,0,0,0,2
2018,北海道,美唄市,北海道_美唄市,24,0,,0,0,11,1,0,1,0,11
2018,北海道,芦別市,北海道_芦別市,3,0,,0,0,2,0,0,0,0,1
2018,北海道,江別市,北海道_江別市,269,0,,0,1,52,29,1,5,1,180
2018,北海道,紋別市,北海道_紋別市,1,0,,0,0,1,0,0,0,0,0
2018,北海道,士別市,北海道_士別市,5,0,,0,0,3,0,0,0,0,2
2018,北海道,名寄市,北海道_名寄市,15,0,,0,0,2,0,0,0,3,10
2018,北海道,三笠市,北海道_三笠市,9,0,,0,0,9,0,0,0,0,0
2018,北海道,根室市,北海道_根室市,6,0,,0,0,3,1,0,0,0,2
2018,北海道,千歳市,北海道_千歳市,184,0,,0,1,85,11,6,2,0,79
2018,北海道,滝川市,北海道_滝川市,29,0,,0,0,12,1,0,0,0,16
2018,北海道,砂川市,北海道_砂川市,9,0,,0,0,7,1,0,0,0,1
2018,北海道,歌志内市,北海道_歌志内市,1,0,,0,0,1,0,0,0,0,0
2018,北海道,深川市,北海道_深川市,9,0,,0,0,3,1,0,1,0,4
2018,北海道,富良野市,北海道_富良野市,19,0,,0,0,8,2,0,0,0,9
2018,北海道,登別市,北海道_登別市,39,0,,0,0,18,2,0,0,0,19
2018,北海道,恵庭市,北海道_恵庭市,111,0,,0,0,45,4,4,1,0,57
2018,北海道,伊達市,北海道_伊達市,19,0,,0,0,9,0,0,0,0,10
2018,北海道,北広島市,北海道_北広島市,87,0,,0,0,45,7,5,2,2,26
2018,北海道,石狩市,北海道_石狩市,92,0,,0,0,53,7,0,3,2,27
2018,北海道,北斗市,北海道_北斗市,86,0,,0,0,42,8,7,0,0,29
2018,北海道,当別町,北海道_当別町,21,0,,0,0,15,0,2,0,0,4
2018,北海道,新篠津村,北海道_新篠津村,4,0,,0,0,3,0,0,0,0,1
2018,北海道,松前町,北海道_松前町,2,0,,0,0,2,0,0,0,0,0
2018,北海道,福島町,北海道_福島町,1,0,,0,0,0,0,0,1,0,0
2018,北海道,木古内町,北海道_木古内町,4,0,,0,0,1,1,1,0,0,1
2018,北海道,七飯町,北海道_七飯町,35,0,,0,0,25,0,6,1,0,3
2018,北海道,鹿部町,北海道_鹿部町,11,0,,0,0,10,0,0,0,0,1
2018,北海道,森町,北海道_森町,19,0,,0,0,11,2,2,0,0,4
2018,北海道,八雲町,北海道_八雲町,6,0,,0,0,1,1,2,1,0,1
2018,北海道,長万部町,北海道_長万部町,1,0,,0,0,0,0,0,0,0,1
2018,北海道,江差町,北海道_江差町,1,0,,0,0,0,1,0,0,0,0
2018,北海道,上ノ国町,北海道_上ノ国町,1,0,,0,0,1,0,0,0,0,0
2018,北海道,厚沢部町,北海道_厚沢部町,1,0,,0,0,0,0,1,0,0,0
2018,北海道,乙部町,北海道_乙部町,5,0,,0,0,5,0,0,0,0,0
2018,北海道,今金町,北海道_今金町,2,0,,0,0,0,0,0,0,1,1
2018,北海道,寿都町,北海道_寿都町,1,0,,0,0,1,0,0,0,0,0
2018,北海道,黒松内町,北海道_黒松内町,1,0,,0,0,0,1,0,0,0,0
2018,北海道,蘭越町,北海道_蘭越町,1,0,,0,0,1,0,0,0,0,0
2018,北海道,ニセコ町,北海道_ニセコ町,3,0,,0,0,3,0,0,0,0,0
2018,北海道,留寿都村,北海道_留寿都村,2,0,,0,0,2,0,0,0,0,0
2018,北海道,喜茂別町,北海道_喜茂別町,6,0,,0,0,5,0,0,1,0,0
2018,北海道,倶知安町,北海道_倶知安町,7,0,,0,0,4,0,0,1,0,2
2018,北海道,共和町,北海道_共和町,2,0,,0,0,1,0,1,0,0,0
2018,北海道,岩内町,北海道_岩内町,10,0,,0,0,3,0,0,1,0,6
2018,北海道,神恵内村,北海道_神恵内村,2,0,,0,0,2,0,0,0,0,0
2018,北海道,積丹町,北海道_積丹町,3,0,,0,0,3,0,0,0,0,0
2018,北海道,古平町,北海道_古平町,2,0,,0,0,2,0,0,0,0,0
2018,北海道,仁木町,北海道_仁木町,1,0,,0,0,0,0,1,0,0,0
2018,北海道,余市町,北海道_余市町,41,0,,0,0,21,1,0,1,0,18
2018,北海道,南幌町,北海道_南幌町,7,0,,0,0,5,1,0,1,0,0
2018,北海道,奈井江町,北海道_奈井江町,10,0,,0,0,7,0,0,1,0,2
