state,county,county_key,year,has_r1,violent_crime,murder,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,first_r1_year,trend,r1_trend
AL,Autauga,AL_Autauga,2014,0,68,2,6,52,414,170,199,45,,0,0
AL,Autauga,AL_Autauga,2015,0,69,0,6,50,344,111,187,46,,1,0
AL,Autauga,AL_Autauga,2017,0,55,2,5,43,384,131,206,47,,3,0
AL,Autauga,AL_Autauga,2018,0,51,0,5,40,372,92,240,40,,4,0
AL,Baldwin,AL_Baldwin,2014,0,98,0,18,76,662,230,405,27,,0,0
AL,Baldwin,AL_Baldwin,2015,0,115,0,33,73,648,225,390,33,,1,0
AL,Baldwin,AL_Baldwin,2017,0,163,1,18,135,737,226,442,69,,3,0
AL,Baldwin,AL_Baldwin,2018,0,223,0,37,177,615,173,397,45,,4,0
AL,Barbour,AL_Barbour,2014,0,17,2,2,11,128,68,55,5,,0,0
AL,Barbour,AL_Barbour,2015,0,32,2,0,26,115,59,45,11,,1,0
AL,Barbour,AL_Barbour,2017,0,34,0,3,28,100,33,57,10,,3,0
AL,Bibb,AL_Bibb,2014,0,4,0,0,3,82,42,34,6,,0,0
AL,Bibb,AL_Bibb,2015,0,7,0,1,4,41,20,18,3,,1,0
AL,Bibb,AL_Bibb,2017,0,3,0,1,1,69,41,24,4,,3,0
AL,Blount,AL_Blount,2014,0,90,0,1,83,923,311,524,88,,0,0
AL,Blount,AL_Blount,2015,0,204,5,5,178,832,247,503,82,,1,0
AL,Blount,AL_Blount,2017,0,313,1,5,293,812,198,502,112,,3,0
AL,Blount,AL_Blount,2018,0,375,1,5,350,796,191,492,113,,4,0
AL,Bullock,AL_Bullock,2014,0,15,0,3,12,84,65,15,4,,0,0
AL,Bullock,AL_Bullock,2015,0,21,0,8,13,52,34,17,1,,1,0
AL,Bullock,AL_Bullock,2017,0,6,0,1,4,46,19,21,6,,3,0
AL,Bullock,AL_Bullock,2018,0,7,0,3,4,42,23,17,2,,4,0
