dialogue_id,sales_id,user_id,before_purchase_intention,after_purchase_intention,purchase_intention_change,n_utterances,n_sales_turns,n_user_turns,duration_seconds
0,SALES_0,USER_0,5,5,0,25,18,7,913.0
1,SALES_1,USER_1,6,7,1,43,32,11,1313.0
2,SALES_1,USER_2,4,5,1,52,33,19,1079.0
3,SALES_1,USER_3,4,6,2,28,22,6,723.0
4,SALES_1,USER_4,3,2,-1,19,16,3,662.0
5,SALES_1,USER_5,6,6,0,78,47,31,1560.0
6,SALES_0,USER_6,4,4,0,17,12,5,602.0
7,SALES_2,USER_7,6,6,0,40,22,18,1283.0
8,SALES_2,USER_8,7,6,-1,18,9,9,313.0
9,SALES_2,USER_9,3,4,1,43,26,17,1220.0
10,SALES_3,USER_10,4,5,1,28,16,12,961.0
11,SALES_3,USER_11,4,6,2,29,14,15,1151.0
12,SALES_2,USER_12,5,5,0,34,21,13,1114.0
13,SALES_4,USER_13,4,5,1,24,13,11,1202.0
14,SALES_0,USER_14,4,5,1,16,12,4,375.0
15,SALES_3,USER_15,4,5,1,21,12,9,1327.0
16,SALES_3,USER_16,4,5,1,46,24,22,1605.0
17,SALES_3,USER_17,5,2,-3,19,11,8,1194.0
18,SALES_0,USER_18,4,4,0,14,9,5,678.0
19,SALES_2,USER_19,7,7,0,24,13,11,615.0
20,SALES_2,USER_20,3,5,2,26,15,11,676.0
21,SALES_1,USER_21,3,5,2,39,30,9,1077.0
22,SALES_1,USER_22,6,6,0,34,26,8,812.0
23,SALES_1,USER_23,7,7,0,51,35,16,1135.0
24,SALES_0,USER_24,5,6,1,26,18,8,1024.0
25,SALES_1,USER_25,4,5,1,54,41,13,1472.0
26,SALES_0,USER_26,4,5,1,15,11,4,578.0
27,SALES_1,USER_27,5,6,1,32,25,7,981.0
28,SALES_1,USER_28,5,6,1,29,21,8,520.0
29,SALES_1,USER_29,4,6,2,72,51,21,1526.0
30,SALES_1,USER_30,4,5,1,73,52,21,1630.0
31,SALES_1,USER_31,4,6,2,45,31,14,917.0
32,SALES_4,USER_32,4,6,2,16,9,7,865.0
33,SALES_4,USER_33,5,6,1,28,14,14,1617.0
34,SALES_2,USER_34,5,6,1,21,13,8,578.0
35,SALES_2,USER_35,6,6,0,35,21,14,957.0
36,SALES_0,USER_36,4,5,1,20,15,5,1275.0
37,SALES_2,USER_37,5,6,1,26,17,9,731.0
38,SALES_1,USER_38,6,5,-1,35,28,7,1233.0
39,SALES_1,USER_39,6,5,-1,56,40,16,1862.0
40,SALES_0,USER_40,6,5,-1,22,15,7,903.0
41,SALES_1,USER_41,5,5,0,28,23,5,1245.0
42,SALES_0,USER_42,3,3,0,16,12,4,469.0
43,SALES_0,USER_43,4,5,1,44,33,11,1251.0
44,SALES_0,USER_44,5,4,-1,17,12,5,544.0
45,SALES_1,USER_45,3,6,3,45,37,8,1656.0
46,SALES_0,USER_46,6,7,1,25,17,8,1068.0
47,SALES_4,USER_47,3,5,2,27,19,8,1143.0
48,SALES_0,USER_48,5,6,1,29,20,9,1473.0
49,SALES_2,USER_49,2,5,3,42,26,16,1086.0
50,SALES_0,USER_50,6,7,1,35,25,10,958.0
51,SALES_0,USER_51,5,4,-1,28,19,9,1116.0
52,SALES_2,USER_52,5,3,-2,35,21,14,969.0
53,SALES_2,USER_53,6,7,1,48,27,21,1236.0
54,SALES_2,USER_54,3,6,3,16,10,6,382.0
55,SALES_2,USER_55,2,2,0,43,27,16,1517.0
56,SALES_1,USER_56,2,1,-1,60,44,16,1707.0
57,SALES_0,USER_57,5,5,0,30,19,11,1469.0
58,SALES_1,USER_58,5,5,0,47,36,11,1310.0
59,SALES_0,USER_59,5,5,0,21,15,6,1439.0
60,SALES_1,USER_60,6,5,-1,43,32,11,954.0
61,SALES_0,USER_61,5,5,0,23,17,6,1382.0
62,SALES_1,USER_62,3,1,-2,38,28,10,816.0
63,SALES_3,USER_63,4,5,1,23,14,9,1007.0
64,SALES_0,USER_64,5,7,2,16,11,5,544.0
65,SALES_0,USER_65,5,6,1,20,13,7,914.0
66,SALES_3,USER_66,2,2,0,19,10,9,961.0
67,SALES_0,USER_67,5,5,0,19,12,7,949.0
68,SALES_3,USER_68,3,5,2,35,20,15,1400.0
69,SALES_3,USER_69,5,6,1,21,13,8,463.0
70,SALES_3,USER_70,4,5,1,32,19,13,1571.0
71,SALES_0,USER_71,4,5,1,18,13,5,847.0
72,SALES_0,USER_72,5,6,1,37,25,12,1763.0
73,SALES_3,USER_73,4,6,2,21,12,9,564.0
74,SALES_0,USER_74,5,6,1,15,10,5,507.0
75,SALES_2,USER_75,4,6,2,21,13,8,435.0
76,SALES_2,USER_76,2,1,-1,16,10,6,406.0
77,SALES_3,USER_77,5,5,0,35,22,13,1632.0
78,SALES_3,USER_78,5,6,1,36,24,12,1491.0
79,SALES_2,USER_79,4,4,0,32,21,11,1294.0
80,SALES_2,USER_80,,5,,17,10,7,946.0
81,SALES_2,USER_81,3,6,3,11,7,4,651.0
