species,dropped_event,E_coef
Blue Whale,uwi39_053,-0.00074358044315572
Blue Whale,uwi42_046,-0.0006977287462600015
Blue Whale,uwi33_091,-0.0005922929436013163
Blue Whale,uwi33_092,-0.0005444076400436892
Blue Whale,uwi36_082,-0.0006487122921060139
California Sea Lion,uwi33_084,0.00039414900686657653
California Sea Lion,uwi36_071,0.0002980815538305291
California Sea Lion,uwi36_074,0.0003818949687572613
Northern Elephant Seal,uwi36_073,-0.00033726802794090826
Northern Elephant Seal,uwi36_074,-0.0003413277699884968
Northern Elephant Seal,uwi39_057,-0.00034603272700589854
Northern Elephant Seal,uwi45_075,-0.0003507655168597373
Northern Elephant Seal,uwi42_046,-0.0003501409283365762
Northern Elephant Seal,uwi33_092,-0.00033793882078802574
Northern Elephant Seal,uwi33_091,-0.00034790895849431887
Northern Elephant Seal,uwi45_079,-0.00035177348930238257
Northern Elephant Seal,uwi42_051,-0.00034784838617292805
Northern Elephant Seal,uwi45_083,-0.000347057149535415
Northern Elephant Seal,uwi42_054,-0.00036406377638919867
Salmon Shark,uwi45_075,0.000543109720374237
Salmon Shark,uwi45_079,0.000544608003431225
Salmon Shark,uwi39_061,0.0005526606871603294
Salmon Shark,uwi42_054,0.0005424002231938889
Salmon Shark,uwi45_083,0.0005514063746394894
Salmon Shark,uwi36_085,0.000560449025584276
Salmon Shark,uwi45_091,0.0005391130782698034
Salmon Shark,uwi45_087,0.0005296090215684661
