year,Median,Mean,SD,n
2014,765.0,863.3373983739838,460.3551468245986,246
2015,730.0,823.567213114754,480.05576318130943,305
2016,650.0,791.8811881188119,452.2633577655739,303
2017,680.0,779.9310344827586,422.89133560820335,290
2018,650.0,750.945054945055,453.1639026944181,273
2019,620.0,707.8536585365854,446.3144344687185,246
2020,620.0,725.8966789667896,422.4126168982834,271
2021,660.0,783.0409836065573,579.5368719656695,244
2022,620.0,703.5758620689655,455.6306357478095,290
2023,580.0,644.3883928571429,364.66308063180844,224
2024,560.0,668.0377358490566,435.45314251656373,212
