Variable,OR,95% CI lower,95% CI upper,P-value
twin,0.9409667730214497,0.6786552774283822,1.3046660025771888,0.7151598074596928
年齢(歳),0.9996145437251751,0.9810236976614635,1.0185576947925157,0.9678934982947976
BMI,0.9993137133001684,0.9910920497735791,1.0076035801295284,0.8706175141082579
GA_weeks,0.985502430890259,0.9536546994984384,1.0184137317221915,0.3835812724571419
emergency,0.9512759190458119,0.7552193925833683,1.1982291279107475,0.6714237629127275
prior_cs,0.7570868059666236,0.6029125421517739,0.9506858651888098,0.016608765618453564
HDP,1.2059451915736663,0.8702001738459041,1.6712290445223197,0.2606573587572767
epidural,1.5767775808215272,1.285043775452592,1.9347415137711856,1.2855918030197703e-05
手術時間_min,1.0103463458357052,1.0037649201608598,1.0169709242080034,0.0020221982731779865
hypotension,1.0597258292069764,0.869239082549392,1.2919562127771695,0.566099622833858
