Variable,OR,95% CI lower,95% CI upper,P-value
twin,1.1513547632908694,0.39020769654074455,3.3972107744270383,0.7984932410559432
年齢(歳),0.9901064795355952,0.9282490632547399,1.0560860006484516,0.7625958618704094
BMI,1.005972529477463,0.9953209854978365,1.0167380622012263,0.2728951609456447
GA_weeks,0.9353034949129791,0.8567572934093176,1.0210506923324192,0.13504949012207956
emergency,2.1246669588348146,0.9235951127318136,4.887650035968933,0.07623304536355034
prior_cs,1.0392018928591764,0.46490025964414444,2.3229511098761915,0.9253518170835726
HDP,1.1646815069036993,0.42687591237746336,3.1776986547884833,0.7659415794135407
epidural,0.8275396328684956,0.3805110090649645,1.7997425242726817,0.6329804143645867
手術時間_min,1.0084205484113746,0.9860890015829427,1.0312578284778304,0.4630110940744766
hypotension,1.3923191556474408,0.6951048555949676,2.7888636017705832,0.35039652000186705
