Model,n_covariates,aOR,CI_lower,CI_upper,P,AIC
Crude (twin only),0,7.922651933701618,0.818812086498035,76.65789831100227,0.07388298726217153,48.99007180769401
Twin + Age (per year),1,7.509278065257106,0.7624060235126228,73.96223970208167,0.08407394783820879,50.88446922814067
Twin + BMI (per kg/m²),1,8.439568354314654,0.8624643686789163,82.58464534163953,0.06682916935645972,50.59034290248987
Twin + GA (per week),1,13.638134313940494,0.7351890891423658,252.9943796936076,0.07951395189399511,50.5016357780121
Twin + Epidural anesthesia,1,6.496062992127751,0.6691661380643862,63.061819774316525,0.10662425196771279,47.78093758521661
Twin + Surgery time (per min),1,12.116186244986666,1.0491030544455293,139.93093290610213,0.04567711211964661,48.2563574516988
Twin + Hypotension (SBP < 90),1,7.921217436392273,0.8064486407633576,77.80493698298258,0.0758283853414112,50.99006996791754
Full minus Age (per year),5,14.567812411414469,0.7501981198149237,282.88681729369995,0.07671880105640423,53.00115307002747
Full minus BMI (per kg/m²),5,12.699887605289215,0.628244114709946,256.7268700343389,0.09753334753220673,52.95601454097557
Full minus GA (per week),5,9.350095839968787,0.8357228632444514,104.60919051227361,0.06963000562395398,52.79757626529687
Full minus Epidural anesthesia,5,19.611377772911222,0.9376396989565473,410.18542472107936,0.05505305521490219,55.05191227597818
Full minus Hypotension (SBP < 90),5,13.164398222558347,0.6519453624057809,265.8219393149572,0.0927686302496881,52.60954069463526
Reduced (5 covariates),4,14.143098795359156,0.7211082175921711,277.3886618615914,0.0810473192387105,56.005391430716166
