year,n,age_median,ga_median,blood_loss_median,ionv_primary_n,ionv_secondary_n,serotonin_n,ionv_primary_pct,ionv_secondary_pct,serotonin_pct
2014.00,35,31.00,36.71,1240.00,8,0,0,22.86,0.00,0.00
2015.00,26,29.50,36.14,1340.00,4,1,0,15.38,3.85,0.00
2016.00,42,34.50,37.14,1385.00,4,0,0,9.52,0.00,0.00
2017.00,22,31.00,37.00,1210.00,6,0,0,27.27,0.00,0.00
2018.00,41,31.00,37.14,1300.00,5,0,0,12.20,0.00,0.00
2019.00,31,31.00,37.14,1140.00,4,0,0,12.90,0.00,0.00
2020.00,29,32.00,37.00,1200.00,6,1,0,20.69,3.45,0.00
2021.00,37,33.00,37.14,1120.00,6,0,0,16.22,0.00,0.00
2022.00,21,32.00,37.00,1050.00,4,0,0,19.05,0.00,0.00
2023.00,27,34.00,37.14,1150.00,3,0,1,11.11,0.00,3.70
2024.00,31,34.00,37.14,1150.00,8,3,7,25.81,9.68,22.58
